"","displayName","position","tot_tackles","tot_tackles_forloss","tot_ffumbles","tot_missed_tackles","tot_prevents","tot_assists","tot_ips","Height","Weight","player_rating"
"59","Austin Calitro","ILB",3,1,0,0,1,5,1,72,240,14.5
"60","Austin Johnson","NT",14,2,0,4,0,6,0,76,314,17
"61","Avonte Maddox","CB",15,1,0,7,3,10,0,69,184,21
"62","Azeez Al-Shaair","ILB",4,0,0,2,1,6,0,74,228,7
"63","Azeez Ojulari","OLB",1,0,0,1,0,1,0,74,250,0.5
"64","B.J. Hill","DT",14,1,0,1,0,19,0,75,311,24.5
"65","Baron Browning","ILB",6,3,0,0,1,4,0,75,240,16
"66","Baylon Spector","OLB",3,0,0,1,0,0,0,74,235,2
"67","Ben Banogu","DE",1,0,0,1,0,1,0,75,252,0.5
"68","Ben Niemann","ILB",14,1,0,1,0,8,0,74,233,19
"69","Ben Stille","DT",0,0,0,0,0,2,0,76,293,1
"70","Benito Jones","DT",2,0,0,1,0,2,0,73,329,2
"71","Benjamin St-Juste","CB",24,0,0,5,3,6,0,75,205,28
"72","Bilal Nichols","DT",5,1,0,3,2,11,0,75,313,13.5
"73","Blake Cashman","ILB",2,2,0,0,1,1,1,73,235,13.5
"74","Blake Martinez","ILB",14,0,0,2,1,6,0,74,237,17
"75","Bobby McCain","FS",28,2,0,7,2,14,0,71,192,36
"76","Bobby Okereke","ILB",48,4,1,4,5,23,0,73,234,78.5
"77","Bobby Price","FS",2,0,0,0,0,1,0,76,205,2.5
"78","Bobby Wagner","ILB",40,1,0,1,6,23,0,72,242,64.5
"79","Boye Mafe","OLB",16,1,0,1,1,5,0,76,265,21.5
"80","Bradley Chubb","OLB",11,0,0,6,3,11,0,76,275,16.5
"81","Bradley Roby","CB",16,1,0,7,3,3,1,71,194,23.5
"82","Brandin Bryant","DT",1,0,0,0,0,2,0,75,294,2
"83","Brandin Echols","CB",2,0,0,0,0,1,0,71,178,2.5
"84","Brandon Copeland","OLB",1,0,0,0,1,3,0,75,263,4.5
"85","Brandon Facyson","CB",9,0,0,1,1,1,0,74,197,10.5
"86","Brandon Graham","DE",6,3,0,1,0,6,0,74,265,14
"87","Brandon Jones","SS",24,0,0,6,0,23,0,72,205,29.5
"88","Brandon Smith","ILB",0,0,0,1,0,0,0,75,241,-1
"89","Brandon Stephens","FS",12,0,0,2,1,3,0,72,206,13.5
"90","Bravvion Roy","DT",1,0,0,0,0,5,0,73,333,3.5
"91","Brent Urban","DE",3,0,0,2,0,6,0,79,300,4
"92","Brian Asamoah","ILB",1,0,0,0,0,0,0,73,230,1
"93","Brian Burns","OLB",16,3,0,7,1,15,1,77,250,29.5
"94","Broderick Washington","DT",12,1,0,3,0,9,0,75,305,15.5
"95","Bruce Irvin","OLB",3,1,0,1,0,2,0,75,250,5
"96","Bryan Cook","SS",6,0,0,2,1,6,0,73,210,9
"97","Bryan Mone","NT",10,1,0,2,0,6,0,75,366,13
"98","Bryce Callahan","CB",16,2,0,4,0,6,0,69,188,19
"99","Bryce Huff","DE",1,0,0,0,1,0,0,75,255,3
"100","Bud Dupree","OLB",2,0,0,0,0,3,0,76,269,3.5
"101","Budda Baker","SS",44,2,1,11,1,26,0,70,195,57
"102","Byron Cowart","DT",2,1,0,0,0,3,0,75,300,5.5
"103","Byron Murphy","CB",29,3,0,3,2,6,0,71,190,39
"104","C.J. Brewer","DT",2,0,0,0,0,0,0,74,280,2
"105","C.J. Henderson","CB",27,1,0,3,3,5,0,73,191,34.5
"106","C.J. Moore","FS",0,0,0,0,0,1,0,71,195,0.5
"107","C.J. Mosley","ILB",55,3,0,8,4,32,0,74,250,77
"108","Caden Sterns","FS",14,0,0,5,0,7,0,73,205,12.5
"109","Calais Campbell","DE",8,1,0,4,0,10,0,80,300,11
"110","Caleb Farley","CB",9,0,0,3,0,1,0,74,207,6.5
"111","Cam Sample","DE",5,1,0,1,0,2,0,75,280,7
"112","Cam Taylor-Britt","CB",9,0,0,1,0,1,0,72,205,8.5
"113","Cameron Dantzler","CB",39,2,1,3,2,4,0,74,185,51
"114","Cameron Heyward","DT",17,2,1,1,4,13,1,77,295,44.5
"115","Cameron Jordan","DE",18,4,0,6,1,13,1,76,287,33.5
"116","Cameron Lewis","CB",2,0,0,0,0,0,0,69,185,2
"117","Cameron Sutton","CB",19,1,0,4,1,1,0,71,188,19.5
"118","Cameron Thomas","OLB",2,0,0,0,0,7,0,77,270,5.5
"119","Camryn Bynum","FS",21,0,0,2,0,13,0,73,195,25.5
"120","Carl Davis","NT",2,0,0,2,0,3,0,77,320,1.5
"121","Carl Granderson","DE",9,2,0,0,3,6,2,77,261,32
"122","Carl Lawson","DE",3,2,0,4,0,7,0,74,265,6.5
"123","Carl Nassib","OLB",6,0,0,2,0,6,0,79,275,7
"124","Carlos Basham","DE",3,0,0,1,0,4,0,76,273,4
"125","Carlos Dunlap","OLB",8,1,0,1,0,5,0,78,285,11.5
"126","Carlos Watkins","DE",2,0,0,1,0,4,0,75,297,3
"127","Carlton Davis","CB",30,2,1,4,2,6,0,73,206,42
"128","Casey Hayward","CB",13,0,0,5,0,3,0,71,192,9.5
"129","Casey Toohill","DE",3,0,0,2,0,8,0,76,247,5
"130","Chad Muma","ILB",0,0,0,1,0,1,0,75,242,-0.5
"131","Chandler Jones","DE",11,1,0,5,0,5,0,77,265,10.5
"132","Chandon Sullivan","CB",19,1,0,3,1,8,0,71,189,24
"133","Channing Tindall","ILB",0,0,0,2,0,2,0,74,230,-1
"134","Charles Harris","OLB",8,2,0,0,0,4,0,75,250,14
"135","Charles Omenihu","DE",2,0,0,1,1,6,0,77,280,6
"136","Charvarius Ward","CB",25,1,1,0,2,9,0,73,195,40.5
"137","Chase Lucas","CB",1,0,0,0,0,0,0,72,176,1
"138","Chauncey Gardner-Johnson","SS",36,2,0,10,3,5,0,71,208,38.5
"139","Chauncey Golston","DE",3,0,0,1,0,2,0,77,270,3
"140","Chidobe Awuzie","CB",30,0,1,5,2,6,0,72,202,37
"141","Chris Banjo","FS",1,0,0,0,0,0,0,70,207,1
"142","Chris Board","ILB",6,0,1,2,1,0,0,74,230,11
"143","Chris Harris","CB",16,0,1,0,1,1,0,70,199,23.5
"144","Chris Jackson","CB",1,0,0,0,0,0,0,72,186,1
"145","Chris Jones","DT",6,3,1,1,1,4,1,78,308,25
"146","Chris Lammons","CB",2,0,0,0,0,1,0,70,190,2.5
"147","Chris Rumph","OLB",2,0,0,2,0,3,0,76,235,1.5
"148","Chris Wormley","DE",9,3,0,1,2,9,1,77,300,27.5
"149","Christian Barmore","DT",7,0,0,0,1,5,0,77,310,11.5
"150","Christian Benford","CB",7,1,0,2,2,3,0,73,205,12.5
"151","Christian Covington","NT",2,1,0,1,1,5,1,74,305,12.5
"152","Christian Harris","ILB",11,1,1,6,3,2,0,74,232,19
"153","Christian Holmes","CB",1,0,0,0,0,0,0,72,201,1
"154","Christian Jones","ILB",1,0,0,1,1,1,0,75,250,2.5
"155","Christian Kirksey","OLB",34,3,0,6,5,20,1,74,235,59
"156","Christian Matthew","CB",0,0,0,0,0,2,0,76,200,1
"157","Christian Ringo","DT",0,0,0,1,0,1,0,73,298,-0.5
"158","Christian Wilkins","DT",23,7,0,2,0,17,0,76,315,43.5
"159","Chuck Clark","SS",37,0,1,6,3,17,0,72,205,50.5
"160","Clayton Fejedelem","SS",3,0,0,0,0,1,0,72,205,3.5
"161","Clelin Ferrell","DE",2,0,0,0,0,6,0,76,265,5
"162","Cobie Durant","CB",0,0,0,1,0,1,0,71,175,-0.5
"163","Coby Bryant","CB",29,2,4,8,2,8,0,73,198,53
"164","Cody Barton","MLB",34,1,0,3,1,22,0,74,237,46
"165","Cole Holcomb","ILB",38,1,0,4,4,32,0,73,240,60
"166","Cordale Flott","CB",4,0,0,3,1,1,0,74,170,3.5
"167","Corey Peters","DT",2,0,0,0,0,4,0,75,335,4
"168","Cornell Armstrong","CB",15,0,0,1,0,6,0,72,185,17
"169","Cory Littleton","OLB",14,0,0,4,0,12,0,75,228,16
"170","D.J. Davidson","DT",2,0,0,1,0,2,0,77,325,2
"171","D.J. Jones","DT",14,1,0,3,2,7,0,72,321,20.5
"172","D.J. Reader","NT",7,0,0,0,0,2,0,75,347,8
"173","D.J. Reed","CB",34,0,1,5,3,6,0,69,188,43
"174","D.J. Wonnum","OLB",11,1,0,2,0,2,0,77,260,12
"175","DaQuan Jones","DT",8,0,0,2,0,8,0,76,322,10
"176","Dalvin Tomlinson","DT",4,0,0,4,0,12,0,75,318,6
"177","Damar Hamlin","SS",38,2,0,6,3,12,0,73,195,48
"178","Damarion Williams","CB",12,1,0,3,3,8,0,69,180,21
"179","Damarri Mathis","CB",24,1,0,7,4,3,1,71,195,33.5
"180","Damien Wilson","MLB",16,2,1,4,1,10,1,72,243,33
"181","Damone Clark","ILB",0,0,0,0,0,4,0,75,239,2
"182","Dane Belton","FS",12,1,0,2,0,4,0,73,205,14
"183","Dane Jackson","CB",23,0,0,7,1,5,0,71,185,20.5
"184","Daniel Ekuale","DT",4,0,0,1,0,1,0,75,300,3.5
"185","Daniel Wise","DE",0,0,0,0,0,2,0,75,279,1
"186","Danielle Hunter","OLB",20,4,0,6,1,9,0,77,252,28.5
"187","Danny Johnson","CB",2,0,0,0,0,2,0,69,190,3
"188","Dante Fowler","OLB",8,2,0,2,1,2,0,75,255,13
"189","Darious Williams","CB",14,1,0,9,1,11,0,69,187,14.5
"190","Darius Harris","ILB",19,2,0,2,1,11,1,74,238,33.5
"191","Darius Slay","CB",16,0,0,4,1,8,0,72,190,18
"192","Darnay Holmes","CB",10,0,1,2,1,6,0,70,198,18
"193","Darnell Savage","SS",23,1,0,9,1,7,0,71,200,21.5
"194","Daron Bland","CB",5,0,0,3,1,2,0,71,206,5
"195","Daron Payne","DT",10,5,0,4,3,20,0,75,320,32
"196","Darrell Taylor","OLB",9,3,0,3,0,0,0,75,253,12
"197","Darren Hall","CB",11,0,1,1,0,5,0,72,190,17.5
"198","Darrick Forrest","SS",26,2,2,2,1,10,0,72,200,45
"199","Darryl Johnson","OLB",1,1,0,0,0,2,0,78,253,4
"200","David Long","CB",10,0,0,4,1,3,0,71,196,9.5
"201","David Long","ILB",35,2,0,9,4,26,0,71,224,51
"202","David Mayo","MLB",1,0,0,0,0,1,0,74,245,1.5
"203","David Onyemata","DT",8,0,0,4,1,4,0,76,300,8
"204","Daviyon Nixon","DT",1,0,0,0,0,3,0,75,305,2.5
"205","Davon Godchaux","NT",12,0,0,2,1,18,0,75,311,21
"206","Davon Hamilton","DT",16,3,0,3,1,15,0,76,310,28.5
"207","Dawuane Smoot","DE",3,0,0,3,0,2,0,75,264,1
"208","Dax Hill","FS",2,0,0,0,1,0,0,72,192,4
"209","Dayo Odeyingbo","DE",4,1,0,2,0,4,0,78,280,6
"210","De'Shaan Dixon","OLB",0,0,0,0,0,1,0,76,250,0.5
"211","De'Vondre Campbell","ILB",37,6,0,9,3,26,1,76,232,64
"212","DeAngelo Malone","OLB",5,1,0,0,0,1,0,76,240,7.5
"213","DeForest Buckner","DT",15,2,0,1,2,18,0,79,300,31
"214","DeMarcus Walker","DE",6,0,0,1,2,3,0,76,280,10.5
"215","DeMarvin Leal","DE",5,1,0,2,0,5,0,76,290,7.5
"216","DeShawn Williams","DT",7,1,0,1,1,5,0,73,292,12.5
"217","DeShon Elliott","FS",39,3,0,4,1,12,1,73,210,54
"218","Deadrin Senat","DT",7,1,0,3,1,5,0,73,305,10.5
"219","Dean Lowry","DE",17,1,0,1,0,10,0,78,296,23
"220","Dean Marlowe","SS",6,0,0,2,0,2,0,73,208,5
"221","Deatrich Wise","DE",15,1,0,2,0,12,0,77,275,21
"222","Dee Alford","CB",10,1,0,2,3,3,1,72,170,22.5
"223","Dee Delaney","CB",6,0,0,3,1,2,0,73,193,6
"224","Deion Jones","ILB",6,1,0,2,1,3,0,73,227,9.5
"225","Demarcus Lawrence","DE",20,2,0,5,5,11,1,75,265,39.5
"226","Demario Davis","MLB",25,3,0,6,3,18,0,74,248,40
"227","Demetrius Flannigan-Fowles","OLB",4,0,0,1,0,0,0,74,209,3
"228","Demetrius Taylor","DT",0,0,0,1,0,0,0,73,295,-1
"229","Demone Harris","DE",0,0,0,1,0,4,0,76,272,1
"230","Denico Autry","DE",4,0,0,3,0,6,0,77,285,4
"231","Dennis Gardeck","OLB",9,0,1,2,2,3,0,72,232,17.5
"232","Denzel Perryman","ILB",26,6,0,7,1,12,0,71,240,39
"233","Denzel Ward","CB",18,1,0,4,0,2,0,71,191,17
"234","Deommodore Lenoir","CB",15,1,0,5,2,10,0,71,202,21
"235","Deon Bush","SS",3,0,0,0,0,1,0,72,200,3.5
"236","Derek Stingley","CB",29,0,0,3,2,8,0,73,195,34
"237","Derion Kendrick","CB",21,0,0,3,1,4,0,72,190,22
"238","Derrek Tuszka","OLB",4,0,0,1,0,2,0,77,246,4
"239","Derrick Barnes","ILB",13,1,0,4,1,10,0,73,245,18
"240","Derrick Brown","DE",20,2,0,2,3,22,1,77,318,44
"241","Derrick Nnadi","DT",6,0,0,3,0,8,0,73,310,7
"242","Derwin James","FS",37,0,0,5,2,30,0,74,215,51
"243","Desmond King","CB",27,4,0,5,2,7,0,70,201,37.5
"244","Devin Bush","ILB",25,1,0,1,0,18,0,71,233,35
"245","Devin Lloyd","ILB",34,0,0,12,5,32,0,75,235,48
"246","Devin McCourty","FS",36,0,0,3,0,9,0,70,195,37.5
"247","Devin White","ILB",36,4,1,6,2,27,0,72,237,60.5
"248","Devon Kennard","OLB",5,1,0,1,0,2,0,75,256,7
"249","Devonte Wyatt","DT",3,0,0,0,0,3,0,75,315,4.5
"250","Dexter Lawrence","DT",12,1,1,5,2,12,0,76,342,24
"251","Dicaprio Bootle","CB",0,0,0,0,0,1,0,70,195,0.5
"252","Divine Deablo","OLB",39,1,0,7,1,34,0,75,223,53
"253","Domenique Davis","DT",0,0,0,0,0,3,0,75,315,1.5
"254","Dominique Robinson","DE",8,1,0,1,1,2,0,76,256,12
"255","Donovan Jeter","NT",1,0,0,0,0,0,0,75,325,1
"256","Donovan Wilson","SS",41,2,1,13,2,13,0,72,204,47.5
"257","Dontae Johnson","CB",0,0,0,0,0,1,0,74,200,0.5
"258","Donte Jackson","CB",28,1,0,7,3,2,0,70,180,30
"259","Dorance Armstrong","DE",5,0,0,2,0,6,0,76,255,6
"260","Drake Jackson","DE",5,0,0,1,0,3,0,76,250,5.5
"261","Dre Greenlaw","ILB",30,2,0,4,6,18,0,72,225,51
"262","Dre'Mont Jones","DE",14,4,0,4,1,11,0,75,281,25.5
"263","Drue Tranquill","ILB",43,2,0,13,3,20,0,74,234,50
"264","Duke Riley","ILB",17,3,0,2,0,11,0,73,230,26.5
"265","Duron Harmon","SS",24,0,1,6,2,12,0,73,205,33
"266","Dylan Cole","ILB",14,1,0,6,1,10,0,72,237,17
"267","E.J. Speed","OLB",18,5,0,0,3,11,2,76,230,49.5
"268","Ed Oliver","DT",4,0,0,1,0,5,0,73,287,5.5
"269","Eddie Jackson","SS",45,1,2,10,2,19,0,72,202,60.5
"270","Efe Obada","DE",4,0,0,4,0,8,0,78,265,4
"271","Elandon Roberts","ILB",25,3,0,9,1,26,1,72,238,42
"272","Elerson Smith","OLB",0,0,0,1,0,1,0,79,255,-0.5
"273","Eli Apple","CB",14,1,0,6,2,7,0,73,203,17.5
"274","Elijah Campbell","CB",1,0,0,0,0,2,0,71,193,2
"275","Elijah Lee","OLB",0,0,0,1,0,0,0,74,229,-1
"276","Elijah Riley","CB",1,0,0,0,0,0,0,72,205,1
"277","Emmanuel Moseley","CB",15,1,0,5,1,4,0,71,184,16
"278","Emmanuel Ogbah","DE",6,0,0,0,0,4,0,76,275,8
"279","Eric Johnson","DT",0,0,0,1,0,0,0,77,298,-1
"280","Eric Kendricks","ILB",41,3,0,10,6,24,0,72,232,61
"281","Eric Murray","FS",5,0,0,1,1,2,0,71,199,7
"282","Eric Rowe","SS",21,0,0,4,3,6,0,73,205,26
"283","Eric Stokes","CB",20,0,0,5,4,4,0,73,190,25
"284","Eric Wilson","OLB",1,0,0,0,0,1,0,73,230,1.5
"285","Erik Harris","FS",4,0,0,0,0,3,0,74,220,5.5
"286","Ernest Jones","ILB",30,1,1,4,4,24,0,74,230,53
"287","Essang Bassey","CB",0,0,0,1,0,1,0,70,190,-0.5
"288","Eyioma Uwazurike","DE",0,0,0,0,0,3,0,77,285,1.5
"289","Ezekiel Turner","ILB",2,1,0,0,0,1,0,74,214,4.5
"290","Fabian Moreau","CB",23,0,0,3,0,6,0,72,204,23
"291","Fletcher Cox","DT",6,1,0,1,0,10,0,76,310,12
"292","Folorunso Fatukasi","DT",9,0,0,4,0,6,0,76,318,8
"293","Foyesade Oluokun","ILB",59,5,0,11,7,26,0,74,215,85
"294","Frank Clark","DE",7,2,0,5,0,5,0,75,260,8.5
"295","Frankie Luvu","ILB",33,7,1,12,5,11,0,75,235,55.5
"296","Fred Warner","ILB",33,1,0,3,4,21,0,75,236,50.5
"297","Garret Wallow","OLB",4,1,0,2,0,4,0,74,230,6
"298","Genard Avery","DE",1,0,0,1,1,0,0,72,250,2
"299","Geno Stone","SS",21,0,1,1,1,2,0,71,210,28
"300","George Karlaftis","DE",8,1,0,5,1,8,0,76,275,11
"301","Germaine Pratt","OLB",26,1,0,7,0,31,0,74,245,36.5
"302","Grady Jarrett","DT",13,3,0,2,2,12,0,72,305,27
"303","Grant Delpit","SS",33,0,0,5,1,14,0,75,203,37
"304","Grant Haley","CB",6,0,0,3,1,5,0,69,190,7.5
"305","Greedy Williams","CB",3,0,0,0,1,2,0,74,184,6
"306","Greg Gaines","NT",4,1,0,2,1,10,0,73,312,11
"307","Greg Newsome","CB",17,0,0,3,1,4,0,73,188,18
"308","Gregory Rousseau","DE",11,3,0,2,0,3,0,79,253,16.5
"309","Grover Stewart","DT",31,5,0,3,2,14,1,76,315,54
"310","Haason Reddick","OLB",10,3,0,9,0,4,0,73,235,9
"311","Harrison Phillips","DT",9,1,0,1,0,11,0,75,307,15.5
"312","Harrison Smith","SS",36,0,1,2,1,7,0,74,214,44.5
"313","Hassan Ridgeway","DT",8,1,0,0,0,9,0,75,305,14.5
"314","Henry Anderson","DE",6,2,0,0,2,6,1,78,301,22
"315","Henry Mondeaux","DT",1,0,0,0,0,4,0,76,280,3
"316","Ifeadi Odenigbo","DE",2,1,0,0,0,3,0,75,258,5.5
"317","Ifeatu Melifonwu","CB",1,0,0,0,0,0,0,75,213,1
"318","Isaac Rochell","DE",12,1,0,1,2,1,1,76,280,22.5
"319","Isaiah Buggs","DT",9,0,0,3,0,7,0,75,295,9.5
"320","Isaiah McDuffie","ILB",6,0,0,1,1,2,0,73,224,8
"321","Isaiah Oliver","CB",11,2,0,5,1,6,1,72,210,20
"322","Isaiah Rodgers","CB",12,1,1,0,2,6,0,70,170,26
"323","Isaiah Simmons","DB",28,0,1,6,2,12,0,75,225,37
"324","Isaiah Thomas","DE",2,0,0,1,0,4,0,77,272,3
"325","Isaiahh Loudermilk","DE",3,0,0,1,0,2,0,79,293,3
"326","Israel Mukuamu","SS",8,0,0,0,1,3,0,76,205,11.5
"327","J.C. Jackson","CB",11,0,0,3,0,3,0,73,198,9.5
"328","J.J. Watt","DE",7,2,0,1,1,4,1,77,288,19
"329","J.T. Gray","SS",0,0,0,0,0,1,0,72,202,0.5
"330","Ja'Marcus Ingram","CB",2,0,0,0,0,1,0,73,185,2.5
"331","Ja'Whaun Bentley","ILB",18,0,0,2,1,31,0,74,255,33.5
"332","Jabrill Peppers","SS",16,0,0,1,2,11,0,71,213,24.5
"333","Jace Whittaker","CB",6,0,0,4,1,2,0,71,185,5
"334","Jack Jones","CB",19,1,1,7,0,5,0,71,170,21.5
"335","Jack Sanborn","ILB",7,0,0,0,0,2,0,74,232,8
"336","Jacob Phillips","MLB",27,0,0,6,1,16,0,76,233,31
"337","Jadeveon Clowney","DE",5,1,0,1,0,5,0,77,255,8.5
"338","Jaelan Phillips","OLB",13,2,0,10,2,13,0,77,266,17.5
"339","Jahlani Tavai","ILB",14,0,0,0,0,15,0,74,250,21.5
"340","Jaire Alexander","CB",18,2,0,4,3,5,2,70,196,36.5
"341","Jake Hansen","OLB",0,0,0,1,0,2,0,73,230,0
"342","Jake Martin","DE",2,0,0,2,0,4,0,74,242,2
"343","Jaleel Johnson","DT",2,0,0,1,0,1,0,75,316,1.5
"344","Jalen Dalton","DT",2,0,0,0,0,2,0,77,288,3
"345","Jalen Davis","CB",0,0,0,0,0,1,0,70,185,0.5
"346","Jalen Mills","CB",20,0,0,3,0,5,0,72,191,19.5
"347","Jalen Pitre","FS",34,4,0,19,1,20,0,72,200,35
"348","Jalen Ramsey","CB",26,3,1,3,3,7,2,73,208,53.5
"349","Jalen Reeves-Maybin","OLB",1,0,0,1,0,2,0,72,233,1
"350","Jalen Thompson","FS",43,0,0,2,2,13,0,71,190,51.5
"351","Jalyn Armour-Davis","CB",3,1,0,2,0,2,0,73,192,4
"352","Jamal Adams","SS",3,0,0,0,0,0,0,73,213,3
"353","Jamel Dean","CB",27,1,0,0,0,8,0,73,206,33
"354","James Bradberry","CB",20,0,0,6,0,3,0,73,212,15.5
"355","James Lynch","NT",5,0,0,1,0,3,0,76,295,5.5
"356","James Pierre","CB",12,0,0,1,0,1,0,74,185,11.5
"357","James Smith-Williams","DE",8,1,0,2,1,8,1,75,265,19
"358","Jamien Sherwood","ILB",2,0,0,0,0,0,0,73,220,2
"359","Jamin Davis","OLB",30,4,0,7,2,13,1,76,234,46.5
"360","Jamir Jones","OLB",3,0,0,0,0,1,0,75,255,3.5
"361","Jaquan Brisker","SS",37,1,0,11,1,14,0,73,202,37
"362","Jaquan Johnson","FS",11,0,0,4,0,13,0,70,190,13.5
"363","Jarran Reed","DT",16,3,0,2,1,11,0,75,306,27.5
"364","Jason Pierre-Paul","DE",3,0,0,1,0,3,0,77,275,3.5
"365","Javon Hargrave","DT",15,0,0,3,1,5,0,74,305,16.5
"366","Javon Kinlaw","DT",1,0,0,1,0,0,0,78,310,0
"367","Jay Tufele","DT",6,2,0,1,0,8,0,75,305,13
"368","Jaycee Horn","CB",17,1,0,5,1,9,0,73,200,20.5
"369","Jaylen Watson","CB",23,1,0,7,2,5,1,75,204,29.5
"370","Jaylinn Hawkins","FS",28,0,1,6,2,19,0,74,210,40.5
"371","Jaylon Johnson","CB",11,1,1,3,0,3,0,72,195,16.5
"372","Jaylon Jones","CB",12,0,0,2,0,5,0,71,183,12.5
"373","Jaylon Smith","MLB",15,1,0,1,1,10,1,74,245,28
"374","Jayon Brown","OLB",17,1,0,2,0,5,0,72,226,19.5
"375","Jayron Kearse","FS",21,2,0,2,2,11,0,76,215,32.5
"376","Jeff Okudah","CB",38,2,1,1,2,8,1,73,200,59
"377","Jeffery Simmons","DT",10,2,0,5,0,12,0,76,300,15
"378","Jeremiah Attaochu","OLB",2,1,0,0,0,0,0,75,252,4
"379","Jeremiah Owusu-Koramoah","OLB",26,5,2,8,2,14,2,73,215,59
"380","Jeremy Chinn","FS",13,0,0,5,1,6,0,75,212,13
"381","Jeremy Reaves","FS",1,0,0,0,0,1,0,71,205,1.5
"382","Jermaine Johnson","DE",7,1,0,0,0,3,0,76,260,10.5
"383","Jerome Baker","ILB",35,1,0,7,3,14,0,74,225,43
"384","Jerry Hughes","DE",6,1,0,7,0,5,0,74,254,3.5
