"","nflId","height","weight","birthDate","collegeName","position","displayName"
"48",38538,"6-4",207,"1988-07-27","Texas A&amp;M","QB","Ryan Tannehill"
"49",38540,"6-1",202,"1990-09-19","South Carolina","CB","Stephon Gilmore"
"50",38542,"6-4",310,"1990-12-13","Mississippi State","DT","Fletcher Cox"
"51",38544,"6-5",305,"1990-12-21","Louisiana State","DE","Michael Brockers"
"52",38545,"6-3",250,"1987-11-01","West Virginia","OLB","Bruce Irvin"
"53",38548,"6-2",247,"1989-04-26","South Carolina","OLB","Melvin Ingram"
"54",38551,"6-5",265,"1990-02-27","Syracuse","DE","Chandler Jones"
"55",38553,"6-6",305,"1988-12-01","Iowa","T","Riley Reiff"
"56",38557,"6-4",315,"1990-03-08","Wisconsin","G","Kevin Zeitler"
"57",38559,"6-2",214,"1989-02-02","Notre Dame","SS","Harrison Smith"
"58",38577,"6-0",242,"1990-06-27","Utah State","ILB","Bobby Wagner"
"59",38588,"6-1",233,"1990-01-23","Nebraska","ILB","Lavonte David"
"60",38589,"6-3",279,"1988-06-30","Marshall","DE","Vinny Curry"
"61",38592,"5-11",192,"1989-09-09","Vanderbilt","CB","Casey Hayward"
"62",38605,"5-11",215,"1988-11-29","Wisconsin","QB","Russell Wilson"
"63",38607,"6-2",248,"1989-01-11","Arkansas State","MLB","Demario Davis"
"64",38618,"6-6",243,"1989-01-20","Arizona","QB","Nick Foles"
"65",38619,"6-4",352,"1989-11-16","Regina, Can.","DT","Akiem Hicks"
"66",38629,"6-3",308,"1989-07-02","Georgia","C","Ben Jones"
"67",38632,"6-3",202,"1988-08-19","Michigan State","QB","Kirk Cousins"
"68",38683,"6-8",321,"1990-01-16","Purdue","T","Dennis Kelly"
"69",38696,"6-2",198,"1990-03-12","California","WR","Marvin Jones"
"70",38707,"6-0",200,"1990-06-17","Presbyterian","FS","Justin Bethel"
"71",38779,"6-3",308,"1989-06-08","Southern Methodist","T","Kelvin Beachum"
"72",38843,"5-10",195,"1990-06-23","Virginia","FS","Rodney McLeod"
"73",38852,"5-11",195,"1990-03-17","Stanford","SS","Michael Thomas"
"74",38868,"6-1",212,"1990-08-07","Wyoming","FS","Tashaun Gipson"
"75",38937,"6-1",215,"1988-02-17","Houston","QB","Case Keenum"
"76",38947,"5-8",174,"1989-04-26","Southern Methodist","WR","Cole Beasley"
"77",39212,"5-11",220,"1990-01-26","Mississippi","RB","Brandon Bolden"
"78",39646,"6-3",225,"1991-04-13","Baylor","WR","Josh Gordon"
"79",39684,"6-3",305,"1990-02-26","Pennsylvania","G","Greg Van Roten"
"80",39908,"6-2",220,"1990-04-02","California, Pa.","FS","Erik Harris"
"81",39941,"5-10",207,"1990-02-26","Southern Methodist","FS","Chris Banjo"
"82",39950,"6-6",317,"1990-05-08","Oklahoma","T","Lane Johnson"
"83",39965,"6-5",311,"1990-08-15","Syracuse","G","Justin Pugh"
"84",39973,"6-1",212,"1992-06-06","Clemson","WR","DeAndre Hopkins"
"85",39975,"6-2",238,"1991-03-17","Tennessee","RB","Cordarrelle Patterson"
"86",39983,"6-5",250,"1990-11-10","Stanford","TE","Zach Ertz"
"87",39984,"6-0",190,"1991-01-01","Mississippi State","CB","Darius Slay"
"88",39987,"6-3",221,"1990-10-10","West Virginia","QB","Geno Smith"
"89",39989,"6-0",193,"1992-04-10","Southern California","WR","Robert Woods"
"90",39997,"6-3",340,"1992-03-30","Ohio State","NT","Johnathan Hankins"
"91",39998,"6-1",245,"1991-05-05","Florida","OLB","Jon Bostic"
"92",40000,"6-3",255,"1989-10-20","Southern Mississippi","OLB","Jamie Collins"
"93",40011,"6-5",260,"1989-10-05","Cincinnati","TE","Travis Kelce"
"94",40017,"5-9",190,"1992-05-13","Louisiana State","FS","Tyrann Mathieu"
"95",40023,"6-5",304,"1991-07-23","Arkansas-Pine Bluff","T","Terron Armstead"
"96",40024,"6-2",211,"1992-04-27","California","WR","Keenan Allen"
"97",40026,"5-9",179,"1990-11-19","Texas","WR","Marquise Goodwin"
"98",40030,"6-3",327,"1989-07-11","Georgia","NT","John Jenkins"
"99",40031,"5-11",195,"1991-02-09","Rutgers","FS","Logan Ryan"
"100",40039,"6-1",205,"1991-01-24","Rutgers","SS","Duron Harmon"
"101",40048,"6-1",307,"1991-11-29","Illinois","DT","Akeem Spence"
"102",40057,"6-4",310,"1991-09-30","Colorado","T","David Bakhtiari"
"103",40074,"6-6",281,"1991-07-31","Michigan State","DE","William Gholston"
"104",40078,"6-1",240,"1991-04-23","Harvard","FB","Kyle Juszczyk"
"105",40089,"6-5",315,"1991-06-05","Virginia","G","Oday Aboushi"
"106",40095,"6-3",263,"1990-09-16","Buffalo","OLB","Steven Means"
"107",40096,"6-1",240,"1991-07-30","Iowa State","OLB","A.J. Klein"
"108",40107,"6-0",197,"1990-12-31","Iowa","FS","Micah Hyde"
"109",40124,"6-5",310,"1990-08-24","San Jose State","G","David Quessenberry"
"110",40129,"6-3",230,"1990-01-18","Central Florida","RB","Latavius Murray"
"111",40138,"5-10",215,"1990-07-02","Nebraska","RB","Rex Burkhead"
"112",40149,"6-6",255,"1990-01-11","Connecticut","TE","Ryan Griffin"
"113",40166,"6-0",191,"1991-04-25","Oregon State","SS","Jordan Poyer"
"114",40171,"6-4",309,"1990-02-21","Samford","DT","Nicholas Williams"
"115",40347,"6-3",328,"1991-04-20","Wyoming","NT","Mike Purcell"
"116",40463,"6-3",263,"1991-07-02","Pennsylvania","OLB","Brandon Copeland"
"117",40488,"6-2",200,"1990-08-22","Minn. State-Mankato","WR","Adam Thielen"
"118",40494,"5-8",178,"1992-01-17","Southern California","CB","Nickell Robey"
"119",40737,"5-11",212,"1992-01-27","Oklahoma","SS","Tony Jefferson"
"120",41069,"6-2",300,"1989-06-05","Iowa","C","James Ferentz"
"121",41227,"6-5",255,"1993-02-14","South Carolina","DE","Jadeveon Clowney"
"122",41230,"6-1",211,"1993-06-14","Clemson","WR","Sammy Watkins"
"123",41231,"6-3",269,"1991-02-22","Buffalo","OLB","Khalil Mack"
"124",41232,"6-5",309,"1992-02-11","Texas A&amp;M","T","Jake Matthews"
"125",41233,"6-5",231,"1993-08-21","Texas A&amp;M","WR","Mike Evans"
"126",41235,"6-5",255,"1992-03-18","UCLA","OLB","Anthony Barr"
"127",41237,"6-7",309,"1991-07-22","Michigan","T","Taylor Lewan"
"128",41239,"6-1",280,"1991-05-23","Pittsburgh","DT","Aaron Donald"
"129",41240,"5-11",194,"1992-02-16","Virginia Tech","CB","Kyle Fuller"
"130",41242,"6-4",315,"1990-11-20","Notre Dame","G","Zack Martin"
"131",41243,"6-2",250,"1992-06-19","Alabama","ILB","C.J. Mosley"
"132",41245,"6-6",312,"1992-06-03","Tennessee","T","Ja'Wuan James"
"133",41246,"5-10",183,"1993-09-25","Oregon State","WR","Brandin Cooks"
"134",41256,"5-11",193,"1991-07-18","Northern Illinois","FS","Jimmie Ward"
"135",41257,"5-11",194,"1992-05-01","Ohio State","CB","Bradley Roby"
"136",41258,"6-2",215,"1992-11-10","Louisville","QB","Teddy Bridgewater"
"137",41263,"6-3",265,"1992-04-28","Boise State","DE","Demarcus Lawrence"
"138",41264,"6-4",320,"1991-10-11","Nevada","G","Joel Bitonio"
"139",41265,"6-3",210,"1991-03-28","Fresno State","QB","Derek Carr"
"140",41269,"6-3",250,"1991-03-26","Brigham Young","OLB","Kyle Van Noy"
"141",41270,"5-8",185,"1990-11-27","Florida State","SS","Lamarcus Joyner"
"142",41279,"6-3",252,"1993-01-17","Georgia Tech","OLB","Jeremiah Attaochu"
"143",41282,"6-1",215,"1992-12-24","Fresno State","WR","Davante Adams"
"144",41290,"6-2",220,"1993-08-24","Penn State","WR","Allen Robinson"
"145",41291,"6-2",225,"1991-11-02","Eastern Illinois","QB","Jimmy Garoppolo"
"146",41292,"5-11",196,"1992-11-28","Louisiana State","WR","Jarvis Landry"
"147",41293,"6-6",315,"1991-05-29","Missouri","C","Justin Britt"
"148",41295,"6-6",330,"1991-03-03","Virginia","T","Morgan Moses"
"149",41296,"6-5",310,"1991-10-17","North Dakota State","T","Billy Turner"
"150",41300,"6-2",235,"1992-08-31","Iowa","OLB","Christian Kirksey"
"151",41310,"6-3",336,"1991-07-12","Mississippi State","G","Gabe Jackson"
"152",41321,"6-3",315,"1993-06-14","Louisiana State","G","Trai Turner"
"153",41324,"6-6",301,"1990-11-15","Michigan","G","Michael Schofield"
"154",41325,"5-9",205,"1992-05-03","Georgia Southern","RB","Jerick McKinnon"
"155",41327,"6-4",257,"1992-01-22","California","TE","Richard Rodgers"
"156",41336,"6-2",350,"1990-12-27","Louisiana Tech","DT","Justin Ellis"
"157",41341,"6-4",322,"1991-12-27","Penn State","DT","DaQuan Jones"
"158",41349,"6-6",250,"1991-07-01","Virginia Tech","TE","Logan Thomas"
"159",41358,"6-2",200,"1991-12-01","North Carolina State","CB","Dontae Johnson"
"160",41361,"6-0",230,"1991-10-07","Boston College","OLB","Kevin Pierre-Louis"
"161",41363,"6-7",300,"1991-05-05","Virginia","DE","Brent Urban"
"162",41369,"6-6",320,"1992-09-03","Stanford","T","Cameron Fleming"
"163",41390,"6-3",301,"1991-07-27","Ohio State","C","Corey Linsley"
"164",41403,"6-3",256,"1991-06-24","Southern California","OLB","Devon Kennard"
"165",41464,"6-2",290,"1991-08-11","Illinois State","DE","Shelby Harris"
"166",41475,"6-3",305,"1991-10-09","Boise State","T","Charles Leno"
"167",41483,"5-11",190,"1992-05-17","Oregon","CB","Terrance Mitchell"
"168",41500,"5-11",205,"1992-10-17","Ball State","WR","Willie Snead"
"169",41532,"6-5",310,"1991-12-17","North Carolina","T","James Hurst"
"170",41563,"6-8",328,"1991-07-18","Kansas State","T","Cornelius Lucas"
"171",41595,"6-4",332,"1991-05-09","Colorado State-Pueblo","NT","Mike Pennel"
"172",41599,"6-1",232,"1991-05-06","South Carolina State","ILB","Joe Thomas"
"173",41630,"6-3",317,"1992-05-31","Central Florida","C","Justin McCray"
"174",41665,"6-3",310,"1991-05-05","Clemson","G","Tyler Shatley"
"175",41667,"6-6",306,"1991-02-14","James Madison","T","Josh Wells"
"176",41707,"6-4",325,"1991-07-08","Utah State","C","Tyler Larsen"
"177",41712,"5-11",224,"1992-04-03","Oklahoma","RB","Damien Williams"
"178",41786,"6-2",270,"1991-05-02","Texas Tech","DE","Kerry Hyder"
"179",41808,"6-0",240,"1992-04-08","San Jose State","FB","Keith Smith"
"180",41915,"6-2",250,"1992-11-17","Colorado State","OLB","Shaquil Barrett"
"181",41939,"6-6",325,"1991-10-25","Ohio State","G","Andrew Norwell"
"182",41947,"6-3",250,"1991-02-18","Florida State","ILB","Christian Jones"
"183",41959,"6-6",330,"1992-07-07","Bloomsburg","G","Matt Feiler"
"184",42030,"5-9",183,"1991-07-12","Pittsburgh","CB","K'Waun Williams"
"185",42031,"6-5",285,"1990-07-15","Mississippi State","DE","Denico Autry"
"186",42033,"6-5",245,"1991-07-03","Harvard","TE","Cameron Brate"
"187",42116,"5-11",210,"1992-03-28","Texas","SS","Adrian Phillips"
"188",42302,"6-6",255,"1992-04-10","Canisius","TE","Chris Manhertz"
"189",42331,"6-6",265,"1992-04-13","No College","DE","Efe Obada"
"190",42344,"6-4",231,"1994-01-06","Florida State","QB","Jameis Winston"
"191",42345,"6-4",222,"1993-10-30","Oregon","QB","Marcus Mariota"
"192",42346,"6-3",255,"1994-08-03","Florida","OLB","Dante Fowler"
"193",42347,"6-1",211,"1994-06-17","Alabama","WR","Amari Cooper"
"194",42348,"6-5",315,"1991-12-26","Iowa","G","Brandon Scherff"
"195",42349,"6-5",302,"1994-06-20","Southern California","DT","Leonard Williams"
"196",42350,"6-3",216,"1992-06-25","West Virginia","WR","Kevin White"
"197",42356,"6-7",316,"1993-11-04","Stanford","G","Andrus Peat"
"198",42357,"6-3",216,"1993-01-20","Louisville","WR","DeVante Parker"
"199",42358,"6-1",215,"1993-04-13","Wisconsin","RB","Melvin Gordon"
"200",42360,"6-7",292,"1993-11-15","Oregon","DT","Arik Armstead"
"201",42361,"6-0",197,"1993-01-09","Washington","CB","Marcus Peters"
"202",42362,"6-5",313,"1992-08-23","Florida State","T","Cameron Erving"
"203",42363,"6-0",198,"1993-05-24","Southern California","WR","Nelson Agholor"
"204",42364,"6-5",310,"1992-04-25","Texas A&amp;M","T","Cedric Ogbuehi"
"205",42365,"6-4",269,"1993-02-12","Kentucky","OLB","Bud Dupree"
"206",42367,"6-5",307,"1993-12-28","Florida","T","D.J. Humphries"
"207",42368,"6-0",230,"1994-04-21","Washington","ILB","Shaq Thompson"
"208",42369,"6-2",215,"1993-09-10","Central Florida","WR","Breshad Perriman"
"209",42371,"6-3",312,"1992-02-09","Duke","G","Laken Tomlinson"
"210",42372,"5-10",192,"1993-01-05","Miami","WR","Phillip Dorsett"
"211",42376,"6-0",218,"1994-01-10","Alabama","SS","Landon Collins"
"212",42377,"6-6",338,"1993-06-23","Penn State","T","Donovan Smith"
"213",42378,"6-3",280,"1994-01-25","Florida State","DT","Mario Edwards"
"214",42381,"6-5",265,"1992-11-17","Mississippi State","OLB","Preston Smith"
"215",42388,"6-0",232,"1992-02-29","UCLA","ILB","Eric Kendricks"
"216",42390,"6-1",205,"1992-10-03","Utah","SS","Eric Rowe"
"217",42391,"5-11",240,"1992-12-05","Miami","ILB","Denzel Perryman"
"218",42392,"6-6",305,"1992-04-21","Missouri","C","Mitch Morse"
"219",42393,"5-11",193,"1994-01-02","Florida State","CB","Ronald Darby"
"220",42395,"6-6",341,"1992-09-21","Oklahoma","DE","Jordan Phillips"
"221",42397,"5-9",203,"1993-06-13","Nebraska","RB","Ameer Abdullah"
"222",42398,"6-4",252,"1994-04-12","Minnesota","TE","Maxx Williams"
"223",42400,"6-8",328,"1992-05-13","Wisconsin","T","Rob Havenstein"
"224",42401,"6-3",260,"1991-03-13","Missouri","OLB","Markus Golden"
"225",42403,"6-5",255,"1992-11-23","Nebraska","DE","Randy Gregory"
"226",42406,"6-3",260,"1993-06-14","Michigan","DE","Frank Clark"
"227",42410,"6-3",325,"1991-10-03","South Carolina","G","A.J. Cann"
"228",42412,"5-10",182,"1992-09-28","Kansas State","WR","Tyler Lockett"
"229",42416,"6-1",210,"1993-04-16","Indiana","RB","Tevin Coleman"
"230",42419,"6-3",205,"1992-10-25","Georgia","WR","Chris Conley"
"231",42421,"6-0",196,"1993-06-01","Florida State","CB","P.J. Williams"
"232",42427,"6-1",236,"1992-06-27","Texas","ILB","Jordan Hicks"
"233",42428,"6-6",250,"1992-10-15","Rutgers","TE","Tyler Kroft"
"234",42431,"6-5",252,"1994-10-29","Louisiana State","OLB","Danielle Hunter"
"235",42433,"6-5",320,"1992-03-02","Iowa","NT","Carl Davis"
"236",42436,"6-6",301,"1991-08-03","Stanford","DE","Henry Anderson"
"237",42437,"6-0",216,"1993-01-22","Stanford","WR","Ty Montgomery"
"238",42441,"5-11",194,"1993-01-22","Oregon State","CB","Steven Nelson"
"239",42443,"6-4",318,"1992-11-14","Auburn","DT","Angelo Blackson"
"240",42444,"6-2",265,"1993-08-16","Arkansas","OLB","Trey Flowers"
"241",42448,"5-9",177,"1993-06-17","Duke","WR","Jamison Crowder"
"242",42465,"6-4",272,"1992-09-08","Kentucky","OLB","Za'Darius Smith"
"243",42467,"6-1",227,"1994-08-03","Louisiana State","OLB","Kwon Alexander"
"244",42469,"5-9",221,"1993-02-19","South Carolina","RB","Mike Davis"
"245",42470,"6-0",243,"1993-05-28","Minnesota","MLB","Damien Wilson"
"246",42471,"6-4",323,"1992-02-10","Miami","C","Jon Feliciano"
"247",42474,"6-1",310,"1993-08-28","Georgia Tech","G","Shaquille Mason"
"248",42476,"6-4",309,"1991-11-09","Florida","G","Max Garcia"
"249",42477,"6-4",310,"1992-05-03","West Virginia","G","Mark Glowinski"
"250",42480,"6-0",305,"1993-04-28","Clemson","DT","Grady Jarrett"
"251",42485,"6-0",214,"1993-04-29","Penn State","FS","Adrian Amos"
"252",42486,"6-2",243,"1992-03-24","Southern Illinois","TE","MyCole Pruitt"
"253",42488,"5-11",192,"1993-08-18","Memphis","FS","Bobby McCain"
"254",42489,"6-0",191,"1993-11-29","Maryland","WR","Stefon Diggs"
"255",42500,"6-6",260,"1993-01-14","Auburn","TE","C.J. Uzomah"
"256",42503,"6-7",250,"1994-06-04","Penn State","TE","Jesse James"
"257",42511,"6-0",240,"1992-02-01","Rutgers","FB","Michael Burton"
"258",42512,"6-2",245,"1993-08-08","Texas State","MLB","David Mayo"
"259",42514,"6-4",270,"1993-02-17","Delaware","TE","Nick Boyle"
"260",42543,"5-9",197,"1993-01-22","Texas","FS","Quandre Diggs"
"261",42547,"6-6",255,"1992-09-13","Georgia Tech","TE","Darren Waller"
"262",42553,"6-1",298,"03/10/1992","Louisiana-Lafayette","DT","Christian Ringo"
"263",42559,"6-2",305,"1993-10-16","Rice","NT","Christian Covington"
"264",42560,"6-2",307,"1993-07-03","Southern Mississippi","NT","Rakeem Nunez-Roches"
"265",42569,"6-5",310,"1994-08-21","Florida State","T","Bobby Hart"
"266",42587,"6-8",380,"1993-04-13","Florida","T","Trenton Brown"
"267",42589,"6-4",260,"1993-09-16","Texas","TE","Geoff Swaim"
"268",42593,"6-3",220,"1991-12-26","Northwestern","QB","Trevor Siemian"
"269",42654,"6-4",320,"1993-07-26","Louisiana State","T","La'el Collins"
"270",42718,"5-10",197,"1992-04-09","Purdue","RB","Raheem Mostert"
"271",42721,"6-6",263,"1992-04-22","Texas-El Paso","TE","Eric Tomlinson"
"272",42771,"6-2",234,"1993-04-06","Marshall","ILB","Neville Hewitt"
"273",42794,"5-8",190,"1993-04-10","Sacramento State","WR","DeAndre Carter"
"274",42816,"5-11",184,"1991-08-29","Oregon","CB","Troy Hill"
"275",42818,"6-4",209,"1992-02-17","Wisconsin-Whitewater","WR","Jake Kumerow"
"276",42826,"6-1",292,"1992-12-29","Clemson","DT","DeShawn Williams"
"277",42827,"5-11",190,"1993-03-27","Tennessee","CB","Justin Coleman"
"278",42831,"6-1",210,"03/15/1993","Old Dominion","QB","Taylor Heinicke"
"279",42837,"5-11",222,"1993-05-15","Texas","RB","Malcolm Brown"
"280",42883,"6-3",300,"1992-07-10","Georgia","C","David Andrews"
"281",42899,"5-9",180,"1993-01-27","South Carolina","WR","Damiere Byrd"
"282",42901,"6-1",208,"1992-07-25","James Madison","SS","Dean Marlowe"
"283",42929,"6-2",242,"1993-12-07","Montana State","OLB","Alex Singleton"
"284",42935,"5-9",188,"1991-10-23","Rice","CB","Bryce Callahan"
"285",42954,"6-4",310,"1992-04-23","Toledo","C","Greg Mancz"
"286",43092,"6-0",299,"1992-11-23","North Carolina State","DT","T.Y. McGill"
"287",43290,"6-4",223,"1994-10-14","California","QB","Jared Goff"
"288",43291,"6-5",237,"1992-12-30","North Dakota State","QB","Carson Wentz"
"289",43292,"6-5",280,"1995-07-11","Ohio State","OLB","Joey Bosa"
"290",43293,"6-0",228,"1995-07-22","Ohio State","RB","Ezekiel Elliott"
"291",43294,"6-1",208,"1994-10-24","Florida State","CB","Jalen Ramsey"
"292",43295,"6-6",315,"1994-03-18","Notre Dame","T","Ronnie Stanley"
"293",43296,"6-7",300,"1994-03-17","Oregon","DT","DeForest Buckner"
"294",43297,"6-6",308,"1994-08-17","Michigan State","T","Jack Conklin"
"295",43298,"6-5",240,"1992-09-08","Georgia","DE","Leonard Floyd"
"296",43299,"6-1",203,"1995-08-09","Ohio State","CB","Eli Apple"
"297",43301,"6-2",305,"1994-04-02","Louisville","DT","Sheldon Rankins"
"298",43302,"6-5",313,"1994-08-02","Mississippi","T","Laremy Tunsil"
"299",43305,"6-7",318,"1993-08-23","Ohio State","T","Taylor Decker"
"300",43306,"6-1",216,"1995-07-26","Florida","FS","Keanu Neal"
"301",43307,"6-4",309,"1993-05-30","Alabama","C","Ryan Kelly"
"302",43308,"6-3",267,"1994-06-17","Clemson","DE","Shaq Lawson"
"303",43313,"6-0",196,"1992-10-27","Houston","CB","William Jackson"
"304",43314,"6-0",197,"1995-05-01","Miami","CB","Artie Burns"
"305",43316,"6-3",314,"1995-10-04","UCLA","NT","Kenny Clark"
"306",43321,"6-4",275,"1993-11-06","Oklahoma State","DE","Emmanuel Ogbah"
"307",43323,"6-2",245,"1995-06-14","Notre Dame","MLB","Jaylon Smith"
"308",43324,"6-5",250,"1994-12-07","Arkansas","TE","Hunter Henry"
"309",43325,"6-1",244,"1995-09-03","UCLA","ILB","Myles Jack"
"310",43326,"6-6",308,"1994-07-03","Mississippi State","DT","Chris Jones"
"311",43327,"6-1",200,"1993-07-04","Baylor","CB","Xavien Howard"
"312",43329,"5-10",201,"1993-02-10","Oklahoma","WR","Sterling Shepard"
"313",43332,"6-4",314,"1994-05-08","Penn State","NT","Austin Johnson"
"314",43333,"6-5",287,"1994-05-11","Illinois","OLB","Jihad Ward"
"315",43334,"6-3",247,"1994-01-04","Alabama","RB","Derrick Henry"
"316",43335,"6-4",330,"1995-03-21","Alabama","DT","A'Shawn Robinson"
"317",43336,"6-3",212,"1993-03-03","Ohio State","WR","Michael Thomas"
"318",43338,"6-3",306,"1992-12-16","Alabama","DT","Jarran Reed"
"319",43339,"6-4",300,"1993-04-29","Notre Dame","C","Nick Martin"
"320",43341,"6-1",227,"1994-11-04","Louisiana State","ILB","Deion Jones"
"321",43344,"6-2",203,"1994-11-15","Pittsburgh","WR","Tyler Boyd"
"322",43345,"6-3",309,"1992-07-11","Kansas State","G","Cody Whitehair"
"323",43350,"5-11",205,"1994-12-12","Ohio State","SS","Vonn Bell"
"324",43351,"6-1",212,"1993-08-04","Samford","CB","James Bradberry"
"325",43352,"6-4",287,"1992-09-23","Georgia Tech","DE","Adam Gotsis"
"326",43353,"5-11",212,"1993-08-17","Middle Tennessee","FS","Kevin Byard"
"327",43354,"6-7",275,"1993-04-12","Penn State","OLB","Carl Nassib"
"328",43356,"6-2",308,"1995-04-08","Nebraska","DT","Maliek Collins"
"329",43358,"6-2",246,"1995-03-31","Maryland","DE","Yannick Ngakoue"
"330",43361,"6-3",296,"1993-10-22","Florida","DE","Jonathan Bullard"
"331",43362,"6-1",211,"1994-01-26","Alabama","RB","Kenyan Drake"
"332",43366,"6-1",215,"1995-02-22","West Virginia","CB","Daryl Worley"
"333",43367,"6-5",308,"1992-11-18","North Carolina State","G","Joe Thuney"
"334",43368,"6-4",303,"1993-10-29","Oregon State","G","Isaac Seumalo"
"335",43370,"6-4",254,"1994-10-29","Stanford","TE","Austin Hooper"
"336",43373,"5-11",198,"1995-02-13","Virginia Tech","CB","Kendall Fuller"
"337",43376,"6-2",235,"1993-08-20","Utah State","ILB","Nick Vigil"
"338",43378,"6-2",305,"1993-02-07","South Carolina State","DT","Javon Hargrave"
"339",43380,"6-4",235,"1992-12-11","North Carolina State","QB","Jacoby Brissett"
"340",43383,"6-6",261,"1993-03-06","Ohio State","TE","Nick Vannett"
"341",43384,"6-6",310,"1992-08-19","Michigan","G","Graham Glasgow"
"342",43387,"6-2",202,"1993-11-19","Boston College","FS","Justin Simmons"
"343",43388,"6-1",245,"1993-11-06","Wisconsin","ILB","Joe Schobert"
"344",43395,"5-11",199,"1994-01-07","Minnesota","FS","Eric Murray"
"345",43396,"6-1",200,"1993-06-16","Cincinnati","WR","Chris Moore"
"346",43399,"6-6",257,"1993-01-01","Western Kentucky","TE","Tyler Higbee"
"347",43400,"6-2",222,"1993-05-10","Southern Utah","SS","Miles Killebrew"
"348",43404,"6-4",232,"1993-07-01","Minnesota","ILB","De'Vondre Campbell"
"349",43405,"6-3",305,"1994-11-02","Texas","DT","Hassan Ridgeway"
"350",43407,"6-0",212,"1993-08-04","North Carolina State","SS","Juston Burris"
"351",43409,"6-4",300,"1992-11-13","Manitoba, Can.","DT","David Onyemata"
"352",43411,"6-1",328,"1995-03-06","Baylor","DT","Andrew Billings"
"353",43413,"6-0",200,"1993-08-14","Miami","SS","Deon Bush"
"354",43415,"6-1",203,"1994-09-21","Florida","WR","Demarcus Robinson"
"355",43420,"6-2",237,"1994-01-09","Stanford","ILB","Blake Martinez"
