"","masterId","gameId.x","playId.x","nflId","displayName","frameId","time","jerseyNumber","club","playDirection","x","y","s","a","dis","o","dir","event","week_num","fieldPlay","playId.y","gameId.y","playDescription","prePenaltyPlayResult","down","yardsToGo","absoluteYardlineNumber"
"12","2022091103-2462",2022091103,2462,43299,"Eli Apple",12,2022-09-11 15:03:48.7,20,"CIN","right",60.06,2.31,5.27,5.47,0.56,186.75,108.02,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"13","2022091103-2462",2022091103,2462,43299,"Eli Apple",13,2022-09-11 15:03:48.799999,20,"CIN","right",60.53,2.15,4.62,5.89,0.49,201.03,110.9,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"14","2022091103-2462",2022091103,2462,43299,"Eli Apple",14,2022-09-11 15:03:48.9,20,"CIN","right",60.92,1.99,3.84,6.57,0.42,208.74,114.76,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"15","2022091103-2462",2022091103,2462,43299,"Eli Apple",15,2022-09-11 15:03:49,20,"CIN","right",61.21,1.83,3.01,6.94,0.33,214.91,120.44,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"16","2022091103-2462",2022091103,2462,43299,"Eli Apple",16,2022-09-11 15:03:49.099999,20,"CIN","right",61.42,1.68,2.19,7.31,0.25,218.84,130.83,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"17","2022091103-2462",2022091103,2462,43299,"Eli Apple",17,2022-09-11 15:03:49.2,20,"CIN","right",61.54,1.55,1.53,7.35,0.18,225.71,148.99,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"18","2022091103-2462",2022091103,2462,43299,"Eli Apple",18,2022-09-11 15:03:49.299999,20,"CIN","right",61.58,1.42,1.21,6.92,0.13,227.61,178.16,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"19","2022091103-2462",2022091103,2462,43299,"Eli Apple",19,2022-09-11 15:03:49.4,20,"CIN","right",61.54,1.31,1.25,6.52,0.11,234.79,214.74,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"20","2022091103-2462",2022091103,2462,43299,"Eli Apple",20,2022-09-11 15:03:49.5,20,"CIN","right",61.43,1.22,1.62,5.78,0.14,240.41,237.25,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"21","2022091103-2462",2022091103,2462,43299,"Eli Apple",21,2022-09-11 15:03:49.599999,20,"CIN","right",61.27,1.13,2.02,4.86,0.18,246.32,248.21,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"22","2022091103-2462",2022091103,2462,43299,"Eli Apple",22,2022-09-11 15:03:49.7,20,"CIN","right",61.06,1.06,2.36,3.85,0.22,250.29,254,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"23","2022091103-2462",2022091103,2462,43299,"Eli Apple",23,2022-09-11 15:03:49.799999,20,"CIN","right",60.82,1.01,2.59,2.94,0.24,255.54,259.51,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"24","2022091103-2462",2022091103,2462,43299,"Eli Apple",24,2022-09-11 15:03:49.9,20,"CIN","right",60.56,0.98,2.73,2.19,0.26,261.2,264.14,"first_contact",1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"25","2022091103-2462",2022091103,2462,43299,"Eli Apple",25,2022-09-11 15:03:50,20,"CIN","right",60.29,0.96,2.77,1.7,0.27,267.29,268.51,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"26","2022091103-2462",2022091103,2462,43299,"Eli Apple",26,2022-09-11 15:03:50.099999,20,"CIN","right",60.02,0.97,2.78,1.66,0.28,271.25,273.13,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"27","2022091103-2462",2022091103,2462,43299,"Eli Apple",27,2022-09-11 15:03:50.2,20,"CIN","right",59.74,1,2.77,1.78,0.28,276.79,277.84,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"28","2022091103-2462",2022091103,2462,43299,"Eli Apple",28,2022-09-11 15:03:50.299999,20,"CIN","right",59.47,1.04,2.75,1.74,0.28,281.29,281.46,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"29","2022091103-2462",2022091103,2462,43299,"Eli Apple",29,2022-09-11 15:03:50.4,20,"CIN","right",59.2,1.1,2.71,1.58,0.27,284.31,284.52,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"30","2022091103-2462",2022091103,2462,43299,"Eli Apple",30,2022-09-11 15:03:50.5,20,"CIN","right",58.94,1.17,2.64,1.39,0.27,285.77,286.95,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"31","2022091103-2462",2022091103,2462,43299,"Eli Apple",31,2022-09-11 15:03:50.599999,20,"CIN","right",58.69,1.25,2.57,1.17,0.26,285.77,288.53,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"32","2022091103-2462",2022091103,2462,43299,"Eli Apple",32,2022-09-11 15:03:50.7,20,"CIN","right",58.45,1.33,2.5,1.04,0.25,285.77,289.85,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"33","2022091103-2462",2022091103,2462,43299,"Eli Apple",33,2022-09-11 15:03:50.799999,20,"CIN","right",58.22,1.41,2.42,0.93,0.25,287.1,289.97,"tackle",1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"34","2022091103-2462",2022091103,2462,43299,"Eli Apple",34,2022-09-11 15:03:50.9,20,"CIN","right",58,1.5,2.34,0.93,0.24,289.07,291.22,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"35","2022091103-2462",2022091103,2462,43299,"Eli Apple",35,2022-09-11 15:03:51,20,"CIN","right",57.78,1.58,2.26,0.92,0.23,289.8,291.55,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"36","2022091103-2462",2022091103,2462,43299,"Eli Apple",36,2022-09-11 15:03:51.099999,20,"CIN","right",57.58,1.66,2.19,0.84,0.22,289.8,291.63,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"37","2022091103-2462",2022091103,2462,43299,"Eli Apple",37,2022-09-11 15:03:51.2,20,"CIN","right",57.37,1.74,2.13,0.76,0.22,287.46,290.2,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"38","2022091103-2462",2022091103,2462,43350,"Vonn Bell",1,2022-09-11 15:03:47.599999,24,"CIN","right",36.41,25.18,3.72,0.86,0.37,183.64,154.22,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"39","2022091103-2462",2022091103,2462,43350,"Vonn Bell",2,2022-09-11 15:03:47.7,24,"CIN","right",36.57,24.82,3.9,0.72,0.39,178.41,153.98,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"40","2022091103-2462",2022091103,2462,43350,"Vonn Bell",3,2022-09-11 15:03:47.799999,24,"CIN","right",36.76,24.45,4.18,1.06,0.42,169.68,153.15,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"41","2022091103-2462",2022091103,2462,43350,"Vonn Bell",4,2022-09-11 15:03:47.9,24,"CIN","right",36.97,24.06,4.44,1.55,0.44,162.45,152.01,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"42","2022091103-2462",2022091103,2462,43350,"Vonn Bell",5,2022-09-11 15:03:48,24,"CIN","right",37.2,23.65,4.71,1.64,0.47,157.95,150.62,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"43","2022091103-2462",2022091103,2462,43350,"Vonn Bell",6,2022-09-11 15:03:48.099999,24,"CIN","right",37.44,23.21,5.11,1.87,0.51,158.78,150.21,"run",1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"44","2022091103-2462",2022091103,2462,43350,"Vonn Bell",7,2022-09-11 15:03:48.2,24,"CIN","right",37.71,22.74,5.5,2.08,0.54,154.32,149.86,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"45","2022091103-2462",2022091103,2462,43350,"Vonn Bell",8,2022-09-11 15:03:48.299999,24,"CIN","right",37.99,22.25,5.78,2.09,0.57,148.21,150.06,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"46","2022091103-2462",2022091103,2462,43350,"Vonn Bell",9,2022-09-11 15:03:48.4,24,"CIN","right",38.3,21.72,6.16,2.03,0.61,147.45,149.51,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"47","2022091103-2462",2022091103,2462,43350,"Vonn Bell",10,2022-09-11 15:03:48.5,24,"CIN","right",38.63,21.18,6.46,1.77,0.64,147.45,149.31,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"48","2022091103-2462",2022091103,2462,43350,"Vonn Bell",11,2022-09-11 15:03:48.599999,24,"CIN","right",38.97,20.6,6.77,1.65,0.67,146.07,148.96,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"49","2022091103-2462",2022091103,2462,43350,"Vonn Bell",12,2022-09-11 15:03:48.7,24,"CIN","right",39.33,20,6.99,1.24,0.69,146.7,148.94,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"50","2022091103-2462",2022091103,2462,43350,"Vonn Bell",13,2022-09-11 15:03:48.799999,24,"CIN","right",39.68,19.38,7.23,1.05,0.72,148.98,149.99,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"51","2022091103-2462",2022091103,2462,43350,"Vonn Bell",14,2022-09-11 15:03:48.9,24,"CIN","right",40.05,18.74,7.42,0.99,0.74,149.96,150.06,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"52","2022091103-2462",2022091103,2462,43350,"Vonn Bell",15,2022-09-11 15:03:49,24,"CIN","right",40.43,18.09,7.57,0.64,0.75,149.96,149.81,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"53","2022091103-2462",2022091103,2462,43350,"Vonn Bell",16,2022-09-11 15:03:49.099999,24,"CIN","right",40.82,17.42,7.69,0.33,0.77,152.42,150.16,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"54","2022091103-2462",2022091103,2462,43350,"Vonn Bell",17,2022-09-11 15:03:49.2,24,"CIN","right",41.19,16.74,7.79,0.35,0.78,157.69,150.87,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"55","2022091103-2462",2022091103,2462,43350,"Vonn Bell",18,2022-09-11 15:03:49.299999,24,"CIN","right",41.57,16.05,7.84,0.67,0.79,157.69,151.83,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"56","2022091103-2462",2022091103,2462,43350,"Vonn Bell",19,2022-09-11 15:03:49.4,24,"CIN","right",41.93,15.35,7.83,0.96,0.79,158.57,152.64,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"57","2022091103-2462",2022091103,2462,43350,"Vonn Bell",20,2022-09-11 15:03:49.5,24,"CIN","right",42.28,14.64,7.85,1.15,0.79,160.35,153.51,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"58","2022091103-2462",2022091103,2462,43350,"Vonn Bell",21,2022-09-11 15:03:49.599999,24,"CIN","right",42.63,13.93,7.87,1.16,0.79,165.1,154.29,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"59","2022091103-2462",2022091103,2462,43350,"Vonn Bell",22,2022-09-11 15:03:49.7,24,"CIN","right",42.96,13.22,7.85,1.28,0.79,165.74,155.23,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"60","2022091103-2462",2022091103,2462,43350,"Vonn Bell",23,2022-09-11 15:03:49.799999,24,"CIN","right",43.28,12.51,7.79,1.49,0.78,167.36,156.4,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"61","2022091103-2462",2022091103,2462,43350,"Vonn Bell",24,2022-09-11 15:03:49.9,24,"CIN","right",43.58,11.79,7.71,1.68,0.78,168.39,157.52,"first_contact",1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"62","2022091103-2462",2022091103,2462,43350,"Vonn Bell",25,2022-09-11 15:03:50,24,"CIN","right",43.87,11.07,7.64,1.84,0.77,170.88,158.87,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"63","2022091103-2462",2022091103,2462,43350,"Vonn Bell",26,2022-09-11 15:03:50.099999,24,"CIN","right",44.13,10.36,7.52,2.01,0.76,168.99,160.17,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"64","2022091103-2462",2022091103,2462,43350,"Vonn Bell",27,2022-09-11 15:03:50.2,24,"CIN","right",44.38,9.66,7.35,2.08,0.74,166.42,160.79,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"65","2022091103-2462",2022091103,2462,43350,"Vonn Bell",28,2022-09-11 15:03:50.299999,24,"CIN","right",44.61,8.97,7.17,2.23,0.73,164.15,161.69,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"66","2022091103-2462",2022091103,2462,43350,"Vonn Bell",29,2022-09-11 15:03:50.4,24,"CIN","right",44.83,8.3,6.92,2.5,0.7,162.99,162.27,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"67","2022091103-2462",2022091103,2462,43350,"Vonn Bell",30,2022-09-11 15:03:50.5,24,"CIN","right",45.03,7.66,6.62,2.78,0.68,160.76,162.15,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"68","2022091103-2462",2022091103,2462,43350,"Vonn Bell",31,2022-09-11 15:03:50.599999,24,"CIN","right",45.24,7.05,6.29,3.12,0.64,158.53,161.28,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"69","2022091103-2462",2022091103,2462,43350,"Vonn Bell",32,2022-09-11 15:03:50.7,24,"CIN","right",45.44,6.47,5.91,3.45,0.61,156.59,160.11,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"70","2022091103-2462",2022091103,2462,43350,"Vonn Bell",33,2022-09-11 15:03:50.799999,24,"CIN","right",45.65,5.95,5.48,3.86,0.57,156.59,158.24,"tackle",1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"71","2022091103-2462",2022091103,2462,43350,"Vonn Bell",34,2022-09-11 15:03:50.9,24,"CIN","right",45.84,5.46,5.04,4.13,0.52,152.57,156.9,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"72","2022091103-2462",2022091103,2462,43350,"Vonn Bell",35,2022-09-11 15:03:51,24,"CIN","right",46.03,5.02,4.58,4.25,0.48,146.82,155.79,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"73","2022091103-2462",2022091103,2462,43350,"Vonn Bell",36,2022-09-11 15:03:51.099999,24,"CIN","right",46.21,4.62,4.16,4.06,0.44,143.19,155.14,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"74","2022091103-2462",2022091103,2462,43350,"Vonn Bell",37,2022-09-11 15:03:51.2,24,"CIN","right",46.37,4.25,3.82,3.63,0.4,139.09,156.24,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"75","2022091103-2462",2022091103,2462,43641,"Mike Hilton",1,2022-09-11 15:03:47.599999,21,"CIN","right",55.8,15.51,5.74,3,0.58,16.36,100.95,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"76","2022091103-2462",2022091103,2462,43641,"Mike Hilton",2,2022-09-11 15:03:47.7,21,"CIN","right",56.33,15.38,5.46,3.33,0.55,18.22,104.48,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"77","2022091103-2462",2022091103,2462,43641,"Mike Hilton",3,2022-09-11 15:03:47.799999,21,"CIN","right",56.82,15.2,5.12,4.1,0.52,357.81,110.92,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"78","2022091103-2462",2022091103,2462,43641,"Mike Hilton",4,2022-09-11 15:03:47.9,21,"CIN","right",57.25,14.98,4.81,4.52,0.49,335.38,117.37,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"79","2022091103-2462",2022091103,2462,43641,"Mike Hilton",5,2022-09-11 15:03:48,21,"CIN","right",57.63,14.72,4.53,4.88,0.46,316.95,125.16,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"80","2022091103-2462",2022091103,2462,43641,"Mike Hilton",6,2022-09-11 15:03:48.099999,21,"CIN","right",57.97,14.41,4.43,5.04,0.45,298.06,133.67,"run",1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"81","2022091103-2462",2022091103,2462,43641,"Mike Hilton",7,2022-09-11 15:03:48.2,21,"CIN","right",58.25,14.08,4.39,5.26,0.44,279.1,142.03,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"82","2022091103-2462",2022091103,2462,43641,"Mike Hilton",8,2022-09-11 15:03:48.299999,21,"CIN","right",58.49,13.7,4.44,5.73,0.44,268.88,151.5,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"83","2022091103-2462",2022091103,2462,43641,"Mike Hilton",9,2022-09-11 15:03:48.4,21,"CIN","right",58.67,13.29,4.59,5.54,0.45,255.45,160.1,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"84","2022091103-2462",2022091103,2462,43641,"Mike Hilton",10,2022-09-11 15:03:48.5,21,"CIN","right",58.8,12.85,4.77,5.2,0.46,245.24,166.72,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"85","2022091103-2462",2022091103,2462,43641,"Mike Hilton",11,2022-09-11 15:03:48.599999,21,"CIN","right",58.89,12.37,4.98,4.6,0.49,241.96,172.82,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
"86","2022091103-2462",2022091103,2462,43641,"Mike Hilton",12,2022-09-11 15:03:48.7,21,"CIN","right",58.92,11.84,5.36,4.3,0.52,239.56,178.37,NA,1,"No",2462,2022091103,"(3:12) (Shotgun) M.Trubisky scrambles right end to PIT 36 for 6 yards (T.Hendrickson).",6,3,5,40
