"","displayName","defensiveTeam","color","logo"
"914","Nate Landman","ATL","#A71930","atlanta-falcons.png"
"919","Erik Harris","ATL","#A71930","atlanta-falcons.png"
"944","Isaiah Oliver","ATL","#A71930","atlanta-falcons.png"
"946","Abdullah Anderson","ATL","#A71930","atlanta-falcons.png"
"1070","Cornell Armstrong","ATL","#A71930","atlanta-falcons.png"
"1257","Calais Campbell","BAL","#241773","baltimore-ravens.png"
"1279","Chuck Clark","BAL","#241773","baltimore-ravens.png"
"1282","Josh Bynes","BAL","#241773","baltimore-ravens.png"
"1295","Brandon Copeland","BAL","#241773","baltimore-ravens.png"
"1301","Jason Pierre-Paul","BAL","#241773","baltimore-ravens.png"
"1313","Marcus Williams","BAL","#241773","baltimore-ravens.png"
"1316","Travis Jones","BAL","#241773","baltimore-ravens.png"
"1324","Damarion Williams","BAL","#241773","baltimore-ravens.png"
"1325","Broderick Washington","BAL","#241773","baltimore-ravens.png"
"1349","Kyle Hamilton","BAL","#241773","baltimore-ravens.png"
"1358","Geno Stone","BAL","#241773","baltimore-ravens.png"
"1362","Jalyn Armour-Davis","BAL","#241773","baltimore-ravens.png"
"1369","Brent Urban","BAL","#241773","baltimore-ravens.png"
"1375","Marlon Humphrey","BAL","#241773","baltimore-ravens.png"
"1400","Kyle Fuller","BAL","#241773","baltimore-ravens.png"
"1409","Justin Madubuike","BAL","#241773","baltimore-ravens.png"
"1420","Roquan Smith","BAL","#241773","baltimore-ravens.png"
"1421","Marcus Peters","BAL","#241773","baltimore-ravens.png"
"1437","Patrick Queen","BAL","#241773","baltimore-ravens.png"
"1458","Steven Means","BAL","#241773","baltimore-ravens.png"
"1460","A.J. Klein","BAL","#241773","baltimore-ravens.png"
"1508","Jeremiah Attaochu","BAL","#241773","baltimore-ravens.png"
"1511","Odafe Oweh","BAL","#241773","baltimore-ravens.png"
"1567","Justin Houston","BAL","#241773","baltimore-ravens.png"
"1591","Brandon Stephens","BAL","#241773","baltimore-ravens.png"
"1623","Devon Kennard","BAL","#241773","baltimore-ravens.png"
"1658","Kristian Welch","BAL","#241773","baltimore-ravens.png"
"1671","Malik Harrison","BAL","#241773","baltimore-ravens.png"
"1731","Michael Pierce","BAL","#241773","baltimore-ravens.png"
"1790","Taron Johnson","BUF","#00338D","buffalo-bills.png"
"1791","Jordan Poyer","BUF","#00338D","buffalo-bills.png"
"1792","Damar Hamlin","BUF","#00338D","buffalo-bills.png"
"1794","Tremaine Edmunds","BUF","#00338D","buffalo-bills.png"
"1796","DaQuan Jones","BUF","#00338D","buffalo-bills.png"
"1804","Von Miller","BUF","#00338D","buffalo-bills.png"
"1806","Christian Benford","BUF","#00338D","buffalo-bills.png"
"1810","Jordan Phillips","BUF","#00338D","buffalo-bills.png"
"1835","Dane Jackson","BUF","#00338D","buffalo-bills.png"
"1842","Matt Milano","BUF","#00338D","buffalo-bills.png"
"1862","Tyrel Dodson","BUF","#00338D","buffalo-bills.png"
"1872","Micah Hyde","BUF","#00338D","buffalo-bills.png"
"1890","Shaq Lawson","BUF","#00338D","buffalo-bills.png"
"1892","Siran Neal","BUF","#00338D","buffalo-bills.png"
"1899","Kaiir Elam","BUF","#00338D","buffalo-bills.png"
"1904","Baylon Spector","BUF","#00338D","buffalo-bills.png"
"1917","Jaquan Johnson","BUF","#00338D","buffalo-bills.png"
"1944","Cameron Lewis","BUF","#00338D","buffalo-bills.png"
"1976","Carlos Basham","BUF","#00338D","buffalo-bills.png"
"1998","A.J. Epenesa","BUF","#00338D","buffalo-bills.png"
"2019","Gregory Rousseau","BUF","#00338D","buffalo-bills.png"
"2025","Terrel Bernard","BUF","#00338D","buffalo-bills.png"
"2037","Prince Emili","BUF","#00338D","buffalo-bills.png"
"2044","C.J. Brewer","BUF","#00338D","buffalo-bills.png"
"2085","Ja'Marcus Ingram","BUF","#00338D","buffalo-bills.png"
"2109","Brandin Bryant","BUF","#00338D","buffalo-bills.png"
"2170","Ed Oliver","BUF","#00338D","buffalo-bills.png"
"2200","Tim Settle","BUF","#00338D","buffalo-bills.png"
"2309","Yetur Gross-Matos","CAR","#0085CA","carolina-panthers.png"
"2311","Donte Jackson","CAR","#0085CA","carolina-panthers.png"
"2312","Marquan McCall","CAR","#0085CA","carolina-panthers.png"
"2314","Xavier Woods","CAR","#0085CA","carolina-panthers.png"
"2320","Shaq Thompson","CAR","#0085CA","carolina-panthers.png"
"2328","Tae Hayes","CAR","#0085CA","carolina-panthers.png"
"2334","Bravvion Roy","CAR","#0085CA","carolina-panthers.png"
"2339","Myles Hartsfield","CAR","#0085CA","carolina-panthers.png"
"2377","Frankie Luvu","CAR","#0085CA","carolina-panthers.png"
"2389","Brandon Smith","CAR","#0085CA","carolina-panthers.png"
"2390","Brian Burns","CAR","#0085CA","carolina-panthers.png"
"2393","Juston Burris","CAR","#0085CA","carolina-panthers.png"
"2409","Arron Mosby","CAR","#0085CA","carolina-panthers.png"
"2416","Sean Chandler","CAR","#0085CA","carolina-panthers.png"
"2436","Damien Wilson","CAR","#0085CA","carolina-panthers.png"
"2439","Matt Ioannidis","CAR","#0085CA","carolina-panthers.png"
"2441","Jeremy Chinn","CAR","#0085CA","carolina-panthers.png"
"2442","Cory Littleton","CAR","#0085CA","carolina-panthers.png"
"2462","Daviyon Nixon","CAR","#0085CA","carolina-panthers.png"
"2492","Jaycee Horn","CAR","#0085CA","carolina-panthers.png"
"2497","C.J. Henderson","CAR","#0085CA","carolina-panthers.png"
"2528","Marquis Haynes","CAR","#0085CA","carolina-panthers.png"
"2596","Keith Taylor","CAR","#0085CA","carolina-panthers.png"
"2606","Derrick Brown","CAR","#0085CA","carolina-panthers.png"
"2667","Phil Hoskins","CAR","#0085CA","carolina-panthers.png"
"2732","Henry Anderson","CAR","#0085CA","carolina-panthers.png"
"2876","Amare Barno","CAR","#0085CA","carolina-panthers.png"
"2961","Eddie Jackson","CHI","#0B162A","chicago-bears.png"
"2962","Justin Jones","CHI","#0B162A","chicago-bears.png"
"2963","Kindle Vildor","CHI","#0B162A","chicago-bears.png"
"2964","Joe Thomas","CHI","#0B162A","chicago-bears.png"
"2969","Roquan Smith","CHI","#0B162A","chicago-bears.png"
"2980","Trevis Gipson","CHI","#0B162A","chicago-bears.png"
"2982","Nicholas Morrow","CHI","#0B162A","chicago-bears.png"
"2999","Armon Watts","CHI","#0B162A","chicago-bears.png"
"3023","Dominique Robinson","CHI","#0B162A","chicago-bears.png"
"3025","Kyler Gordon","CHI","#0B162A","chicago-bears.png"
"3035","Jaylon Jones","CHI","#0B162A","chicago-bears.png"
"3048","Al-Quadin Muhammad","CHI","#0B162A","chicago-bears.png"
"3056","Jaylon Johnson","CHI","#0B162A","chicago-bears.png"
"3063","Jaquan Brisker","CHI","#0B162A","chicago-bears.png"
"3069","Angelo Blackson","CHI","#0B162A","chicago-bears.png"
"3164","Mike Pennel","CHI","#0B162A","chicago-bears.png"
"3235","Jack Sanborn","CHI","#0B162A","chicago-bears.png"
"3270","Robert Quinn","CHI","#0B162A","chicago-bears.png"
"3451","Matthew Adams","CHI","#0B162A","chicago-bears.png"
"3507","Kingsley Jonathan","CHI","#0B162A","chicago-bears.png"
"3532","Sam Hubbard","CIN","#FB4F14","cincinnati-bengals.png"
"3533","Vonn Bell","CIN","#FB4F14","cincinnati-bengals.png"
"3535","B.J. Hill","CIN","#FB4F14","cincinnati-bengals.png"
"3539","Mike Hilton","CIN","#FB4F14","cincinnati-bengals.png"
"3542","Tre Flowers","CIN","#FB4F14","cincinnati-bengals.png"
"3544","Germaine Pratt","CIN","#FB4F14","cincinnati-bengals.png"
"3552","Cam Taylor-Britt","CIN","#FB4F14","cincinnati-bengals.png"
"3555","Chidobe Awuzie","CIN","#FB4F14","cincinnati-bengals.png"
"3558","Logan Wilson","CIN","#FB4F14","cincinnati-bengals.png"
"3572","Trey Hendrickson","CIN","#FB4F14","cincinnati-bengals.png"
"3573","Josh Tupou","CIN","#FB4F14","cincinnati-bengals.png"
"3586","Akeem Davis-Gaither","CIN","#FB4F14","cincinnati-bengals.png"
"3592","Eli Apple","CIN","#FB4F14","cincinnati-bengals.png"
"3594","Zach Carter","CIN","#FB4F14","cincinnati-bengals.png"
"3598","Joseph Ossai","CIN","#FB4F14","cincinnati-bengals.png"
"3641","Joe Bachie","CIN","#FB4F14","cincinnati-bengals.png"
"3654","Markus Bailey","CIN","#FB4F14","cincinnati-bengals.png"
"3671","D.J. Reader","CIN","#FB4F14","cincinnati-bengals.png"
"3672","Dax Hill","CIN","#FB4F14","cincinnati-bengals.png"
"3685","Jessie Bates","CIN","#FB4F14","cincinnati-bengals.png"
"3689","Cam Sample","CIN","#FB4F14","cincinnati-bengals.png"
"3693","Jalen Davis","CIN","#FB4F14","cincinnati-bengals.png"
"3713","Michael Thomas","CIN","#FB4F14","cincinnati-bengals.png"
"3781","Jay Tufele","CIN","#FB4F14","cincinnati-bengals.png"
"3958","Domenique Davis","CIN","#FB4F14","cincinnati-bengals.png"
"4081","Jeremiah Owusu-Koramoah","CLE","#311D00","cleveland-browns.png"
"4083","Greg Newsome","CLE","#311D00","cleveland-browns.png"
"4085","Sione Takitaki","CLE","#311D00","cleveland-browns.png"
"4088","Jacob Phillips","CLE","#311D00","cleveland-browns.png"
"4089","John Johnson","CLE","#311D00","cleveland-browns.png"
"4092","Isaiah Thomas","CLE","#311D00","cleveland-browns.png"
"4094","Alex Wright","CLE","#311D00","cleveland-browns.png"
"4100","Deion Jones","CLE","#311D00","cleveland-browns.png"
"4105","Grant Delpit","CLE","#311D00","cleveland-browns.png"
"4106","Tommy Togiai","CLE","#311D00","cleveland-browns.png"
"4108","Ronnie Harrison","CLE","#311D00","cleveland-browns.png"
"4114","Martin Emerson","CLE","#311D00","cleveland-browns.png"
"4143","Jordan Elliott","CLE","#311D00","cleveland-browns.png"
"4152","Myles Garrett","CLE","#311D00","cleveland-browns.png"
"4166","Perrion Winfrey","CLE","#311D00","cleveland-browns.png"
"4213","Greedy Williams","CLE","#311D00","cleveland-browns.png"
"4226","Denzel Ward","CLE","#311D00","cleveland-browns.png"
"4284","Anthony Walker","CLE","#311D00","cleveland-browns.png"
"4304","Tony Fields","CLE","#311D00","cleveland-browns.png"
"4362","Isaac Rochell","CLE","#311D00","cleveland-browns.png"
"4374","Jadeveon Clowney","CLE","#311D00","cleveland-browns.png"
"4414","Taven Bryan","CLE","#311D00","cleveland-browns.png"
"4477","Jordan Kunaszyk","CLE","#311D00","cleveland-browns.png"
"4550","Donovan Wilson","DAL","#003594","dallas-cowboys.png"
"4552","Leighton Vander Esch","DAL","#003594","dallas-cowboys.png"
"4554","Trevon Diggs","DAL","#003594","dallas-cowboys.png"
"4556","Osa Odighizuwa","DAL","#003594","dallas-cowboys.png"
"4558","Anthony Barr","DAL","#003594","dallas-cowboys.png"
"4565","Carlos Watkins","DAL","#003594","dallas-cowboys.png"
"4567","Neville Gallimore","DAL","#003594","dallas-cowboys.png"
"4575","Anthony Brown","DAL","#003594","dallas-cowboys.png"
"4583","Jourdan Lewis","DAL","#003594","dallas-cowboys.png"
"4598","Malik Hooker","DAL","#003594","dallas-cowboys.png"
"4604","Johnathan Hankins","DAL","#003594","dallas-cowboys.png"
"4619","Micah Parsons","DAL","#003594","dallas-cowboys.png"
"4642","Kelvin Joseph","DAL","#003594","dallas-cowboys.png"
"4671","Jayron Kearse","DAL","#003594","dallas-cowboys.png"
"4677","Demarcus Lawrence","DAL","#003594","dallas-cowboys.png"
"4688","Damone Clark","DAL","#003594","dallas-cowboys.png"
"4784","Dante Fowler","DAL","#003594","dallas-cowboys.png"
"4809","Sam Williams","DAL","#003594","dallas-cowboys.png"
"4823","Quinton Bohanna","DAL","#003594","dallas-cowboys.png"
"4824","Luke Gifford","DAL","#003594","dallas-cowboys.png"
"4825","Trysten Hill","DAL","#003594","dallas-cowboys.png"
"4853","Daron Bland","DAL","#003594","dallas-cowboys.png"
"4864","Israel Mukuamu","DAL","#003594","dallas-cowboys.png"
"4875","Markquese Bell","DAL","#003594","dallas-cowboys.png"
"4892","Dorance Armstrong","DAL","#003594","dallas-cowboys.png"
"4970","Chauncey Golston","DAL","#003594","dallas-cowboys.png"
"5073","K'Waun Williams","DEN","#FB4F14","denver-broncos.png"
"5074","Josey Jewell","DEN","#FB4F14","denver-broncos.png"
"5079","Jonathon Cooper","DEN","#FB4F14","denver-broncos.png"
"5080","Eyioma Uwazurike","DEN","#FB4F14","denver-broncos.png"
"5082","Caden Sterns","DEN","#FB4F14","denver-broncos.png"
"5087","Essang Bassey","DEN","#FB4F14","denver-broncos.png"
"5088","Bradley Chubb","DEN","#FB4F14","denver-broncos.png"
"5089","Kareem Jackson","DEN","#FB4F14","denver-broncos.png"
"5091","Nik Bonitto","DEN","#FB4F14","denver-broncos.png"
"5093","Alex Singleton","DEN","#FB4F14","denver-broncos.png"
"5101","Patrick Surtain","DEN","#FB4F14","denver-broncos.png"
"5117","Damarri Mathis","DEN","#FB4F14","denver-broncos.png"
"5142","DeShawn Williams","DEN","#FB4F14","denver-broncos.png"
"5158","Jonas Griffith","DEN","#FB4F14","denver-broncos.png"
"5177","D.J. Jones","DEN","#FB4F14","denver-broncos.png"
"5214","Ronald Darby","DEN","#FB4F14","denver-broncos.png"
"5271","Justin Simmons","DEN","#FB4F14","denver-broncos.png"
"5371","Mike Purcell","DEN","#FB4F14","denver-broncos.png"
"5386","Dre'Mont Jones","DEN","#FB4F14","denver-broncos.png"
"5391","Randy Gregory","DEN","#FB4F14","denver-broncos.png"
"5429","Matt Henningsen","DEN","#FB4F14","denver-broncos.png"
"5494","Baron Browning","DEN","#FB4F14","denver-broncos.png"
"5510","P.J. Locke","DEN","#FB4F14","denver-broncos.png"
"5575","Jonathan Kongbo","DEN","#FB4F14","denver-broncos.png"
"5632","Amani Oruwariye","DET","#0076B6","detroit-lions.png"
"5633","DeShon Elliott","DET","#0076B6","detroit-lions.png"
"5635","Aidan Hutchinson","DET","#0076B6","detroit-lions.png"
"5636","Isaiah Buggs","DET","#0076B6","detroit-lions.png"
"5637","Josh Paschal","DET","#0076B6","detroit-lions.png"
"5639","Julian Okwara","DET","#0076B6","detroit-lions.png"
"5644","John Cominsky","DET","#0076B6","detroit-lions.png"
"5645","Jeff Okudah","DET","#0076B6","detroit-lions.png"
"5647","Mike Hughes","DET","#0076B6","detroit-lions.png"
"5657","Malcolm Rodriguez","DET","#0076B6","detroit-lions.png"
"5667","Michael Brockers","DET","#0076B6","detroit-lions.png"
"5671","Alex Anzalone","DET","#0076B6","detroit-lions.png"
"5673","Alim McNeill","DET","#0076B6","detroit-lions.png"
"5680","Charles Harris","DET","#0076B6","detroit-lions.png"
"5694","Juju Hughes","DET","#0076B6","detroit-lions.png"
"5697","Kerby Joseph","DET","#0076B6","detroit-lions.png"
"5702","Benito Jones","DET","#0076B6","detroit-lions.png"
"5712","Derrick Barnes","DET","#0076B6","detroit-lions.png"
"5751","Tracy Walker","DET","#0076B6","detroit-lions.png"
"5779","Saivion Smith","DET","#0076B6","detroit-lions.png"
"5794","Chris Board","DET","#0076B6","detroit-lions.png"
"5816","Chase Lucas","DET","#0076B6","detroit-lions.png"
"5830","Will Harris","DET","#0076B6","detroit-lions.png"
"5847","Jerry Jacobs","DET","#0076B6","detroit-lions.png"
"5848","A.J. Parker","DET","#0076B6","detroit-lions.png"
"5863","Bobby Price","DET","#0076B6","detroit-lions.png"
"5956","Austin Bryant","DET","#0076B6","detroit-lions.png"
"5980","Demetrius Taylor","DET","#0076B6","detroit-lions.png"
"6061","C.J. Moore","DET","#0076B6","detroit-lions.png"
"6065","Ifeatu Melifonwu","DET","#0076B6","detroit-lions.png"
"6158","Jarran Reed","GB","#203731","green-bay-packers.png"
"6159","Darnell Savage","GB","#203731","green-bay-packers.png"
"6173","Tedarrell Slaton","GB","#203731","green-bay-packers.png"
"6185","Quay Walker","GB","#203731","green-bay-packers.png"
"6187","Rasul Douglas","GB","#203731","green-bay-packers.png"
"6199","Rudy Ford","GB","#203731","green-bay-packers.png"
"6225","Rashan Gary","GB","#203731","green-bay-packers.png"
"6253","De'Vondre Campbell","GB","#203731","green-bay-packers.png"
"6258","Jaire Alexander","GB","#203731","green-bay-packers.png"
"6282","Dean Lowry","GB","#203731","green-bay-packers.png"
"6319","Krys Barnes","GB","#203731","green-bay-packers.png"
"6331","Kenny Clark","GB","#203731","green-bay-packers.png"
"6345","Eric Wilson","GB","#203731","green-bay-packers.png"
"6354","Jonathan Garvin","GB","#203731","green-bay-packers.png"
"6373","Kingsley Enagbare","GB","#203731","green-bay-packers.png"
"6384","Keisean Nixon","GB","#203731","green-bay-packers.png"
"6399","Adrian Amos","GB","#203731","green-bay-packers.png"
"6453","Isaiah McDuffie","GB","#203731","green-bay-packers.png"
"6466","Devonte Wyatt","GB","#203731","green-bay-packers.png"
"6533","Preston Smith","GB","#203731","green-bay-packers.png"
"6574","Ladarius Hamilton","GB","#203731","green-bay-packers.png"
"6616","Eric Stokes","GB","#203731","green-bay-packers.png"
"6705","Ogbonnia Okoronkwo","HOU","#03202F","houston-texans.png"
"6707","Rasheem Green","HOU","#03202F","houston-texans.png"
"6708","Desmond King","HOU","#03202F","houston-texans.png"
"6710","Steven Nelson","HOU","#03202F","houston-texans.png"
"6711","Jalen Pitre","HOU","#03202F","houston-texans.png"
"6720","Derek Stingley","HOU","#03202F","houston-texans.png"
"6728","Jonathan Owens","HOU","#03202F","houston-texans.png"
"6731","Tavierre Thomas","HOU","#03202F","houston-texans.png"
"6734","Michael Dwumfour","HOU","#03202F","houston-texans.png"
"6747","Thomas Booker","HOU","#03202F","houston-texans.png"
"6764","Kevin Pierre-Louis","HOU","#03202F","houston-texans.png"
"6776","Jonathan Greenard","HOU","#03202F","houston-texans.png"
"6778","Roy Lopez","HOU","#03202F","houston-texans.png"
"6808","Jerry Hughes","HOU","#03202F","houston-texans.png"
"6822","Christian Harris","HOU","#03202F","houston-texans.png"
"6844","Christian Kirksey","HOU","#03202F","houston-texans.png"
"6862","Kamu Grugier-Hill","HOU","#03202F","houston-texans.png"
"6915","Mario Addison","HOU","#03202F","houston-texans.png"
"6918","Demone Harris","HOU","#03202F","houston-texans.png"
"6932","Blake Cashman","HOU","#03202F","houston-texans.png"
"6944","Garret Wallow","HOU","#03202F","houston-texans.png"
"6960","Eric Murray","HOU","#03202F","houston-texans.png"
"6969","Jalen Reeves-Maybin","HOU","#03202F","houston-texans.png"
"7029","M.J. Stewart","HOU","#03202F","houston-texans.png"
"7080","Jake Hansen","HOU","#03202F","houston-texans.png"
"7092","Maliek Collins","HOU","#03202F","houston-texans.png"
"7101","Neville Hewitt","HOU","#03202F","houston-texans.png"
"7122","Kurt Hinish","HOU","#03202F","houston-texans.png"
"7167","Jaleel Johnson","HOU","#03202F","houston-texans.png"
"7254","Stephon Gilmore","IND","#002C5F","indianapolis-colts.png"
"7257","Rodney McLeod","IND","#002C5F","indianapolis-colts.png"
"7258","Bobby Okereke","IND","#002C5F","indianapolis-colts.png"
"7261","Rodney Thomas","IND","#002C5F","indianapolis-colts.png"
"7262","Kenny Moore","IND","#002C5F","indianapolis-colts.png"
"7275","Zaire Franklin","IND","#002C5F","indianapolis-colts.png"
"7278","Brandon Facyson","IND","#002C5F","indianapolis-colts.png"
"7295","Grover Stewart","IND","#002C5F","indianapolis-colts.png"
"7305","E.J. Speed","IND","#002C5F","indianapolis-colts.png"
"7359","Isaiah Rodgers","IND","#002C5F","indianapolis-colts.png"
"7360","DeForest Buckner","IND","#002C5F","indianapolis-colts.png"
"7385","Tyquan Lewis","IND","#002C5F","indianapolis-colts.png"
"7412","Dayo Odeyingbo","IND","#002C5F","indianapolis-colts.png"
"7414","Kwity Paye","IND","#002C5F","indianapolis-colts.png"
"7417","Ben Banogu","IND","#002C5F","indianapolis-colts.png"
"7445","Shaquille Leonard","IND","#002C5F","indianapolis-colts.png"
"7529","Julian Blackmon","IND","#002C5F","indianapolis-colts.png"
"7541","Byron Cowart","IND","#002C5F","indianapolis-colts.png"
"7596","Yannick Ngakoue","IND","#002C5F","indianapolis-colts.png"
"7664","Nick Cross","IND","#002C5F","indianapolis-colts.png"
"7690","Ifeadi Odenigbo","IND","#002C5F","indianapolis-colts.png"
"7718","Eric Johnson","IND","#002C5F","indianapolis-colts.png"
"7808","Foyesade Oluokun","JAX","#101820","jacksonville-jaguars.png"
"7809","Devin Lloyd","JAX","#101820","jacksonville-jaguars.png"
"7810","Shaquill Griffin","JAX","#101820","jacksonville-jaguars.png"
"7813","Tyson Campbell","JAX","#101820","jacksonville-jaguars.png"
"7818","Darious Williams","JAX","#101820","jacksonville-jaguars.png"
"7823","Josh Allen","JAX","#101820","jacksonville-jaguars.png"
"7841","Davon Hamilton","JAX","#101820","jacksonville-jaguars.png"
"7862","Roy Robertson-Harris","JAX","#101820","jacksonville-jaguars.png"
"7896","Rayshawn Jenkins","JAX","#101820","jacksonville-jaguars.png"
"7909","Corey Peters","JAX","#101820","jacksonville-jaguars.png"
"7915","Andre Cisco","JAX","#101820","jacksonville-jaguars.png"
"7930","Travon Walker","JAX","#101820","jacksonville-jaguars.png"
"7980","Dawuane Smoot","JAX","#101820","jacksonville-jaguars.png"
"8010","Adam Gotsis","JAX","#101820","jacksonville-jaguars.png"
"8057","Andrew Wingard","JAX","#101820","jacksonville-jaguars.png"
"8060","Arden Key","JAX","#101820","jacksonville-jaguars.png"
"8068","Folorunso Fatukasi","JAX","#101820","jacksonville-jaguars.png"
"8086","De'Shaan Dixon","JAX","#101820","jacksonville-jaguars.png"
"8090","K'Lavon Chaisson","JAX","#101820","jacksonville-jaguars.png"
"8108","Tre Herndon","JAX","#101820","jacksonville-jaguars.png"
"8135","Montaric Brown","JAX","#101820","jacksonville-jaguars.png"
"8211","Chad Muma","JAX","#101820","jacksonville-jaguars.png"
"8415","Nick Bolton","KC","#E31837","kansas-city-chiefs.png"
"8416","L'Jarius Sneed","KC","#E31837","kansas-city-chiefs.png"
"8417","Darius Harris","KC","#E31837","kansas-city-chiefs.png"
"8418","Juan Thornhill","KC","#E31837","kansas-city-chiefs.png"
"8423","Bryan Cook","KC","#E31837","kansas-city-chiefs.png"
"8426","Justin Reid","KC","#E31837","kansas-city-chiefs.png"
"8428","Michael Danna","KC","#E31837","kansas-city-chiefs.png"
"8435","Tershawn Wharton","KC","#E31837","kansas-city-chiefs.png"
"8441","Willie Gay","KC","#E31837","kansas-city-chiefs.png"
"8455","Carlos Dunlap","KC","#E31837","kansas-city-chiefs.png"
"8461","Khalen Saunders","KC","#E31837","kansas-city-chiefs.png"
"8469","Leo Chenal","KC","#E31837","kansas-city-chiefs.png"
"8474","Taylor Stallworth","KC","#E31837","kansas-city-chiefs.png"
"8476","Deon Bush","KC","#E31837","kansas-city-chiefs.png"
"8498","George Karlaftis","KC","#E31837","kansas-city-chiefs.png"
"8507","Trent McDuffie","KC","#E31837","kansas-city-chiefs.png"
"8523","Rashad Fenton","KC","#E31837","kansas-city-chiefs.png"
"8552","Jaylen Watson","KC","#E31837","kansas-city-chiefs.png"
"8604","Derrick Nnadi","KC","#E31837","kansas-city-chiefs.png"
"8605","Joshua Williams","KC","#E31837","kansas-city-chiefs.png"
"8655","Chris Jones","KC","#E31837","kansas-city-chiefs.png"
"8690","Chris Lammons","KC","#E31837","kansas-city-chiefs.png"
"8715","Elijah Lee","KC","#E31837","kansas-city-chiefs.png"
"8721","Frank Clark","KC","#E31837","kansas-city-chiefs.png"
"8808","Dicaprio Bootle","KC","#E31837","kansas-city-chiefs.png"
"8856","Malik Herring","KC","#E31837","kansas-city-chiefs.png"
"8939","Justin Hollins","LA","#003594","los-angeles-rams.png"
"8941","Ernest Jones","LA","#003594","los-angeles-rams.png"
"8943","Jalen Ramsey","LA","#003594","los-angeles-rams.png"
"8944","Taylor Rapp","LA","#003594","los-angeles-rams.png"
"8946","Nick Scott","LA","#003594","los-angeles-rams.png"
"8950","Terrell Lewis","LA","#003594","los-angeles-rams.png"
"8953","Bobby Wagner","LA","#003594","los-angeles-rams.png"
"8965","Derion Kendrick","LA","#003594","los-angeles-rams.png"
"8970","Troy Hill","LA","#003594","los-angeles-rams.png"
"8978","Terrell Burgess","LA","#003594","los-angeles-rams.png"
"9001","Jordan Fuller","LA","#003594","los-angeles-rams.png"
"9025","Aaron Donald","LA","#003594","los-angeles-rams.png"
